x,y,AREA,AREA_A,AREA_B
2664270,1238800,10.53,10.53,0.0
2667680,1239530,4.65,4.65,0.0
2658900,1266550,0.0,0.0,0.0
2660980,1268530,18.16,18.16,0.0
2667410,1246730,23.48,7.45,16.03
2666880,1245880,26.85,3.4,23.45
2638890,1233450,4.55,0.4,4.15
2659730,1260660,18.66,18.66,0.0
2649950,1249080,37.17,9.93,27.25
2655740,1231560,1.92,1.92,0.0
2654300,1239510,4.7,0.11,4.59
2642130,1266050,21.77,2.73,19.04
2641050,1264310,6.19,0.54,5.65
2670560,1239260,30.02,18.02,12.0
2669280,1239430,9.36,0.75,8.6
2671550,1238080,20.84,4.49,16.34
2667930,1245980,25.73,1.03,24.7
2656210,1251350,6.57,1.78,4.79
2666740,1246350,29.46,3.36,26.1
2664740,1246660,20.42,1.01,19.41
2671190,1240120,15.01,6.97,8.04
2668200,1256200,0.0,0.0,0.0
2665450,1251240,20.48,1.67,18.8
2660070,1245430,5.08,1.4,3.68
2665520,1247770,9.73,4.11,5.62
2665690,1245960,40.07,8.56,31.52
2666440,1247210,23.5,18.77,4.73
2666980,1247620,3.92,3.92,0.0
2670940,1238050,5.75,5.75,0.0
2654090,1233800,6.12,0.53,5.59
2653820,1247150,13.09,5.82,7.28
2652790,1237540,1.47,1.47,0.0
2672040,1237380,12.08,12.08,0.0
2667000,1243050,18.53,9.89,8.64
2650150,1244550,0.0,0.0,0.0
2662650,1247560,32.16,1.63,30.52
2657300,1257600,53.94,0.88,53.05
2669090,1241910,18.36,0.66,17.7
2669440,1235990,6.84,0.48,6.36
2646620,1241690,1.06,1.06,0.0
2655610,1253430,15.69,15.69,0.0
2647340,1255720,0.97,0.34,0.63
2645550,1242240,2.98,1.93,1.04
2663330,1249740,4.55,0.11,4.44
2671590,1238470,6.81,6.14,0.67
2646800,1250500,17.02,17.02,0.0
2647960,1265650,9.71,0.44,9.27
2658720,1245010,5.45,0.36,5.09
2642970,1265720,6.97,2.18,4.79
2647690,1266590,15.84,0.69,15.15
2660180,1243190,6.6,0.46,6.14
2645500,1264010,2.7,2.16,0.54
2653850,1252250,0.0,0.0,0.0
2659130,1272540,15.54,15.54,0.0
2665520,1248500,3.27,0.47,2.8
2667120,1247050,8.86,0.72,8.15
2652050,1256210,8.78,0.99,7.79
2643510,1241820,8.94,0.66,8.29
2643210,1243940,18.0,1.07,16.93
2643380,1242510,11.98,0.48,11.5
2643940,1240600,9.24,0.51,8.73
