Popu,pi,n,Method,mean,std,Measure
clust,eq,4,nMC,-0.03,0.293857,D
clust,eq,4,LP1,-0.11,0.23,D
clust,eq,4,LP2,-0.11,0.25,D
clust,eq,4,MAX,-0.34,0.31,D
clust,eq,4,SRS,-0.33,0.31,D
clust,eq,4,WAV,-0.09,0.24,D
clust,eq,4,nMC,-0.45,0.217193,I
clust,eq,4,LP1,-0.3,0.14,I
clust,eq,4,LP2,-0.28,0.14,I
clust,eq,4,MAX,-0.09,0.14,I
clust,eq,4,SRS,-0.09,0.15,I
clust,eq,4,WAV,-0.45,0.2,I
clust,eq,4,nMC,0.34,0.079333,L
clust,eq,4,LP1,0.38,0.07,L
clust,eq,4,LP2,0.38,0.08,L
clust,eq,4,MAX,0.53,0.15,L
clust,eq,4,SRS,0.53,0.15,L
clust,eq,4,WAV,0.36,0.07,L
clust,eq,8,nMC,-0.0,0.100382,D
clust,eq,8,LP1,-0.04,0.17,D
clust,eq,8,LP2,-0.04,0.17,D
clust,eq,8,MAX,-0.2,0.29,D
clust,eq,8,SRS,-0.2,0.28,D
clust,eq,8,WAV,-0.06,0.14,D
clust,eq,8,nMC,-0.39,0.128869,I
clust,eq,8,LP1,-0.33,0.1,I
clust,eq,8,LP2,-0.31,0.1,I
clust,eq,8,MAX,-0.06,0.13,I
clust,eq,8,SRS,-0.05,0.13,I
clust,eq,8,WAV,-0.5,0.1,I
clust,eq,8,nMC,0.2,0.042271,L
clust,eq,8,LP1,0.25,0.05,L
clust,eq,8,LP2,0.25,0.05,L
clust,eq,8,MAX,0.39,0.11,L
clust,eq,8,SRS,0.39,0.11,L
clust,eq,8,WAV,0.25,0.05,L
clust,eq,16,nMC,0.0,0.08137,D
clust,eq,16,LP1,-0.01,0.12,D
clust,eq,16,LP2,-0.01,0.12,D
clust,eq,16,MAX,-0.09,0.23,D
clust,eq,16,SRS,-0.1,0.23,D
clust,eq,16,WAV,-0.01,0.12,D
clust,eq,16,nMC,-0.48,0.084204,I
clust,eq,16,LP1,-0.39,0.09,I
clust,eq,16,LP2,-0.37,0.09,I
clust,eq,16,MAX,-0.04,0.13,I
clust,eq,16,SRS,-0.03,0.13,I
clust,eq,16,WAV,-0.61,0.06,I
clust,eq,16,nMC,0.16,0.033611,L
clust,eq,16,LP1,0.19,0.03,L
clust,eq,16,LP2,0.19,0.03,L
clust,eq,16,MAX,0.29,0.06,L
clust,eq,16,SRS,0.29,0.06,L
clust,eq,16,WAV,0.19,0.03,L
clust,uneq,4,nMC,-0.2,0.103173,D
clust,uneq,4,LP1,-0.32,0.29,D
clust,uneq,4,LP2,-0.32,0.31,D
clust,uneq,4,MAX,-0.46,0.33,D
clust,uneq,4,SRS,-0.34,0.31,D
clust,uneq,4,WAV,-0.27,0.34,D
clust,uneq,4,nMC,-0.28,0.058875,I
clust,uneq,4,LP1,-0.19,0.11,I
clust,uneq,4,LP2,-0.18,0.12,I
clust,uneq,4,MAX,-0.05,0.14,I
clust,uneq,4,SRS,-0.08,0.12,I
clust,uneq,4,WAV,-0.29,0.11,I
clust,uneq,4,nMC,0.63,0.038856,L
clust,uneq,4,LP1,0.65,0.89,L
clust,uneq,4,LP2,0.63,0.76,L
clust,uneq,4,MAX,0.79,1.04,L
clust,uneq,4,SRS,2.2,4.77,L
clust,uneq,4,WAV,0.63,0.79,L
clust,uneq,8,nMC,-0.01,0.121207,D
clust,uneq,8,LP1,-0.09,0.19,D
clust,uneq,8,LP2,-0.08,0.2,D
clust,uneq,8,MAX,-0.28,0.33,D
clust,uneq,8,SRS,-0.24,0.29,D
clust,uneq,8,WAV,-0.07,0.18,D
clust,uneq,8,nMC,-0.25,0.101285,I
clust,uneq,8,LP1,-0.2,0.09,I
clust,uneq,8,LP2,-0.18,0.1,I
clust,uneq,8,MAX,0.02,0.15,I
clust,uneq,8,SRS,-0.05,0.12,I
clust,uneq,8,WAV,-0.3,0.08,I
clust,uneq,8,nMC,0.4,0.625492,L
clust,uneq,8,LP1,0.45,0.53,L
clust,uneq,8,LP2,0.49,0.72,L
clust,uneq,8,MAX,0.6,0.74,L
clust,uneq,8,SRS,2.2,3.05,L
clust,uneq,8,WAV,0.48,0.67,L
clust,uneq,16,nMC,-0.03,0.128098,D
clust,uneq,16,LP1,-0.1,0.15,D
clust,uneq,16,LP2,-0.11,0.14,D
clust,uneq,16,MAX,-0.21,0.27,D
clust,uneq,16,SRS,-0.16,0.25,D
clust,uneq,16,WAV,-0.1,0.15,D
clust,uneq,16,nMC,-0.26,0.105843,I
clust,uneq,16,LP1,-0.2,0.08,I
clust,uneq,16,LP2,-0.18,0.09,I
clust,uneq,16,MAX,0.09,0.14,I
clust,uneq,16,SRS,-0.03,0.12,I
clust,uneq,16,WAV,-0.35,0.06,I
clust,uneq,16,nMC,0.29,0.41812,L
clust,uneq,16,LP1,0.36,0.48,L
clust,uneq,16,LP2,0.34,0.41,L
clust,uneq,16,MAX,0.45,0.41,L
clust,uneq,16,SRS,2.18,1.82,L
clust,uneq,16,WAV,0.34,0.44,L
grid,eq,4,nMC,0.0,0.0,D
grid,eq,4,LP1,-0.04,0.26,D
grid,eq,4,LP2,-0.04,0.29,D
grid,eq,4,MAX,-0.3,0.33,D
grid,eq,4,SRS,-0.31,0.33,D
grid,eq,4,WAV,0.05,0.22,D
grid,eq,4,nMC,-0.36,0.137355,I
grid,eq,4,LP1,-0.25,0.11,I
grid,eq,4,LP2,-0.23,0.11,I
grid,eq,4,MAX,-0.08,0.13,I
grid,eq,4,SRS,-0.08,0.13,I
grid,eq,4,WAV,-0.37,0.12,I
grid,eq,4,nMC,0.31,0.152782,L
grid,eq,4,LP1,0.38,0.1,L
grid,eq,4,LP2,0.37,0.1,L
grid,eq,4,MAX,0.49,0.15,L
grid,eq,4,SRS,0.49,0.15,L
grid,eq,4,WAV,0.35,0.1,L
grid,eq,8,nMC,0.02,0.152688,D
grid,eq,8,LP1,0.17,0.2,D
grid,eq,8,LP2,0.16,0.22,D
grid,eq,8,MAX,-0.11,0.33,D
grid,eq,8,SRS,-0.08,0.33,D
grid,eq,8,WAV,0.21,0.16,D
grid,eq,8,nMC,-0.39,0.080602,I
grid,eq,8,LP1,-0.31,0.09,I
grid,eq,8,LP2,-0.29,0.1,I
grid,eq,8,MAX,-0.06,0.13,I
grid,eq,8,SRS,-0.05,0.13,I
grid,eq,8,WAV,-0.47,0.08,I
grid,eq,8,nMC,0.17,0.032874,L
grid,eq,8,LP1,0.23,0.05,L
grid,eq,8,LP2,0.23,0.05,L
grid,eq,8,MAX,0.34,0.09,L
grid,eq,8,SRS,0.34,0.09,L
grid,eq,8,WAV,0.21,0.05,L
grid,eq,16,nMC,0.06,0.076553,D
grid,eq,16,LP1,0.16,0.12,D
grid,eq,16,LP2,0.17,0.12,D
grid,eq,16,MAX,0.03,0.25,D
grid,eq,16,SRS,0.01,0.26,D
grid,eq,16,WAV,0.14,0.08,D
grid,eq,16,nMC,-0.56,0.086772,I
grid,eq,16,LP1,-0.4,0.08,I
grid,eq,16,LP2,-0.37,0.09,I
grid,eq,16,MAX,-0.03,0.14,I
grid,eq,16,SRS,-0.02,0.13,I
grid,eq,16,WAV,-0.6,0.06,I
grid,eq,16,nMC,0.11,0.019686,L
grid,eq,16,LP1,0.15,0.02,L
grid,eq,16,LP2,0.15,0.02,L
grid,eq,16,MAX,0.24,0.05,L
grid,eq,16,SRS,0.24,0.05,L
grid,eq,16,WAV,0.14,0.02,L
grid,uneq,4,nMC,-0.04,0.149478,D
grid,uneq,4,LP1,-0.16,0.26,D
grid,uneq,4,LP2,-0.17,0.27,D
grid,uneq,4,MAX,-0.35,0.3,D
grid,uneq,4,SRS,-0.23,0.34,D
grid,uneq,4,WAV,-0.1,0.24,D
grid,uneq,4,nMC,-0.29,0.119496,I
grid,uneq,4,LP1,-0.19,0.1,I
grid,uneq,4,LP2,-0.19,0.11,I
grid,uneq,4,MAX,-0.05,0.14,I
grid,uneq,4,SRS,-0.07,0.12,I
grid,uneq,4,WAV,-0.29,0.1,I
grid,uneq,4,nMC,0.72,2.2,L
grid,uneq,4,LP1,0.73,1.44,L
grid,uneq,4,LP2,0.71,1.33,L
grid,uneq,4,MAX,0.78,1.52,L
grid,uneq,4,SRS,2.2,2.2,L
grid,uneq,4,WAV,1.0,2.2,L
grid,uneq,8,nMC,-0.02,0.16365,D
grid,uneq,8,LP1,-0.09,0.24,D
grid,uneq,8,LP2,-0.1,0.25,D
grid,uneq,8,MAX,-0.28,0.3,D
grid,uneq,8,SRS,-0.11,0.33,D
grid,uneq,8,WAV,-0.06,0.21,D
grid,uneq,8,nMC,-0.31,0.094298,I
grid,uneq,8,LP1,-0.22,0.1,I
grid,uneq,8,LP2,-0.21,0.11,I
grid,uneq,8,MAX,0.01,0.15,I
grid,uneq,8,SRS,-0.04,0.12,I
grid,uneq,8,WAV,-0.34,0.08,I
grid,uneq,8,nMC,0.54,2.2,L
grid,uneq,8,LP1,0.54,0.93,L
grid,uneq,8,LP2,0.53,0.96,L
grid,uneq,8,MAX,0.65,1.14,L
grid,uneq,8,SRS,2.2,2.2,L
grid,uneq,8,WAV,0.53,0.96,L
grid,uneq,16,nMC,-0.01,0.108536,D
grid,uneq,16,LP1,-0.12,0.18,D
grid,uneq,16,LP2,-0.13,0.19,D
grid,uneq,16,MAX,-0.25,0.25,D
grid,uneq,16,SRS,-0.04,0.28,D
grid,uneq,16,WAV,-0.1,0.16,D
grid,uneq,16,nMC,-0.32,0.081664,I
grid,uneq,16,LP1,-0.22,0.09,I
grid,uneq,16,LP2,-0.21,0.1,I
grid,uneq,16,MAX,0.09,0.15,I
grid,uneq,16,SRS,-0.02,0.13,I
grid,uneq,16,WAV,-0.36,0.06,I
grid,uneq,16,nMC,0.42,2.2,L
grid,uneq,16,LP1,0.44,0.77,L
grid,uneq,16,LP2,0.45,0.76,L
grid,uneq,16,MAX,0.55,2.2,L
grid,uneq,16,SRS,2.2,2.2,L
grid,uneq,16,WAV,0.49,2.2,L
random,eq,4,nMC,0.0,0.16111,D
random,eq,4,LP1,-0.01,0.27,D
random,eq,4,LP2,-0.03,0.29,D
random,eq,4,MAX,-0.27,0.34,D
random,eq,4,SRS,-0.28,0.34,D
random,eq,4,WAV,0.05,0.24,D
random,eq,4,nMC,-0.37,0.104291,I
random,eq,4,LP1,-0.25,0.11,I
random,eq,4,LP2,-0.24,0.11,I
random,eq,4,MAX,-0.09,0.13,I
random,eq,4,SRS,-0.08,0.13,I
random,eq,4,WAV,-0.37,0.12,I
random,eq,4,nMC,0.31,0.114923,L
random,eq,4,LP1,0.38,0.11,L
random,eq,4,LP2,0.38,0.1,L
random,eq,4,MAX,0.49,0.15,L
random,eq,4,SRS,0.49,0.15,L
random,eq,4,WAV,0.35,0.1,L
random,eq,8,nMC,0.01,0.093668,D
random,eq,8,LP1,0.09,0.22,D
random,eq,8,LP2,0.08,0.24,D
random,eq,8,MAX,-0.15,0.33,D
random,eq,8,SRS,-0.15,0.32,D
random,eq,8,WAV,0.11,0.18,D
random,eq,8,nMC,-0.44,0.086669,I
random,eq,8,LP1,-0.32,0.09,I
random,eq,8,LP2,-0.29,0.1,I
random,eq,8,MAX,-0.05,0.13,I
random,eq,8,SRS,-0.06,0.13,I
random,eq,8,WAV,-0.47,0.08,I
random,eq,8,nMC,0.19,0.06079,L
random,eq,8,LP1,0.23,0.05,L
random,eq,8,LP2,0.23,0.06,L
random,eq,8,MAX,0.35,0.09,L
random,eq,8,SRS,0.35,0.09,L
random,eq,8,WAV,0.21,0.05,L
random,eq,16,nMC,-0.0,0.161235,D
random,eq,16,LP1,0.04,0.13,D
random,eq,16,LP2,0.04,0.14,D
random,eq,16,MAX,-0.07,0.26,D
random,eq,16,SRS,-0.06,0.26,D
random,eq,16,WAV,0.03,0.11,D
random,eq,16,nMC,-0.55,0.075035,I
random,eq,16,LP1,-0.41,0.09,I
random,eq,16,LP2,-0.38,0.09,I
random,eq,16,MAX,-0.04,0.14,I
random,eq,16,SRS,-0.03,0.13,I
random,eq,16,WAV,-0.6,0.06,I
random,eq,16,nMC,0.12,0.086879,L
random,eq,16,LP1,0.15,0.03,L
random,eq,16,LP2,0.15,0.03,L
random,eq,16,MAX,0.24,0.05,L
random,eq,16,SRS,0.24,0.05,L
random,eq,16,WAV,0.14,0.03,L
random,uneq,4,nMC,-0.07,0.147418,D
random,uneq,4,LP1,-0.15,0.26,D
random,uneq,4,LP2,-0.17,0.28,D
random,uneq,4,MAX,-0.34,0.31,D
random,uneq,4,SRS,-0.2,0.35,D
random,uneq,4,WAV,-0.1,0.24,D
random,uneq,4,nMC,-0.31,0.125302,I
random,uneq,4,LP1,-0.2,0.1,I
random,uneq,4,LP2,-0.2,0.11,I
random,uneq,4,MAX,-0.06,0.14,I
random,uneq,4,SRS,-0.07,0.12,I
random,uneq,4,WAV,-0.3,0.1,I
random,uneq,4,nMC,0.64,1.82352,L
random,uneq,4,LP1,0.69,0.93,L
random,uneq,4,LP2,0.69,2.33,L
random,uneq,4,MAX,0.86,3.22,L
random,uneq,4,SRS,2.2,2.2,L
random,uneq,4,WAV,0.68,0.98,L
random,uneq,8,nMC,-0.04,0.129925,D
random,uneq,8,LP1,-0.11,0.25,D
random,uneq,8,LP2,-0.1,0.25,D
random,uneq,8,MAX,-0.25,0.31,D
random,uneq,8,SRS,-0.04,0.33,D
random,uneq,8,WAV,-0.08,0.23,D
random,uneq,8,nMC,-0.3,0.092372,I
random,uneq,8,LP1,-0.23,0.09,I
random,uneq,8,LP2,-0.22,0.1,I
random,uneq,8,MAX,-0.0,0.14,I
random,uneq,8,SRS,-0.05,0.12,I
random,uneq,8,WAV,-0.35,0.08,I
random,uneq,8,nMC,0.48,1.249413,L
random,uneq,8,LP1,0.5,0.55,L
random,uneq,8,LP2,0.5,0.56,L
random,uneq,8,MAX,0.61,1.23,L
random,uneq,8,SRS,2.2,2.2,L
random,uneq,8,WAV,0.53,0.63,L
random,uneq,16,nMC,-0.06,0.161235,D
random,uneq,16,LP1,-0.14,0.18,D
random,uneq,16,LP2,-0.15,0.18,D
random,uneq,16,MAX,-0.24,0.25,D
random,uneq,16,SRS,-0.01,0.28,D
random,uneq,16,WAV,-0.14,0.16,D
random,uneq,16,nMC,-0.37,0.075035,I
random,uneq,16,LP1,-0.27,0.09,I
random,uneq,16,LP2,-0.24,0.09,I
random,uneq,16,MAX,0.06,0.15,I
random,uneq,16,SRS,-0.03,0.13,I
random,uneq,16,WAV,-0.42,0.07,I
random,uneq,16,nMC,0.36,0.856879,L
random,uneq,16,LP1,0.39,0.83,L
random,uneq,16,LP2,0.39,0.64,L
random,uneq,16,MAX,0.44,0.34,L
random,uneq,16,SRS,2.2,2.2,L
random,uneq,16,WAV,0.39,0.85,L
swiss,eq,4,nMC,0.02,0.231293,D
swiss,eq,4,LP1,0.09,0.28,D
swiss,eq,4,LP2,0.1,0.31,D
swiss,eq,4,MAX,-0.08,0.37,D
swiss,eq,4,SRS,-0.07,0.37,D
swiss,eq,4,WAV,0.11,0.27,D
swiss,eq,4,nMC,-0.37,0.097463,I
swiss,eq,4,LP1,-0.24,0.1,I
swiss,eq,4,LP2,-0.23,0.11,I
swiss,eq,4,MAX,-0.08,0.13,I
swiss,eq,4,SRS,-0.09,0.13,I
swiss,eq,4,WAV,-0.37,0.12,I
swiss,eq,4,nMC,0.37,0.091998,L
swiss,eq,4,LP1,0.42,0.13,L
swiss,eq,4,LP2,0.42,0.13,L
swiss,eq,4,MAX,0.53,0.17,L
swiss,eq,4,SRS,0.52,0.17,L
swiss,eq,4,WAV,0.4,0.13,L
swiss,eq,8,nMC,0.01,0.091637,D
swiss,eq,8,LP1,0.08,0.22,D
swiss,eq,8,LP2,0.07,0.24,D
swiss,eq,8,MAX,-0.04,0.33,D
swiss,eq,8,SRS,-0.04,0.33,D
swiss,eq,8,WAV,0.08,0.21,D
swiss,eq,8,nMC,-0.43,0.079046,I
swiss,eq,8,LP1,-0.32,0.09,I
swiss,eq,8,LP2,-0.29,0.1,I
swiss,eq,8,MAX,-0.05,0.13,I
swiss,eq,8,SRS,-0.05,0.13,I
swiss,eq,8,WAV,-0.47,0.09,I
swiss,eq,8,nMC,0.2,0.044845,L
swiss,eq,8,LP1,0.25,0.06,L
swiss,eq,8,LP2,0.25,0.06,L
swiss,eq,8,MAX,0.36,0.1,L
swiss,eq,8,SRS,0.36,0.1,L
swiss,eq,8,WAV,0.23,0.06,L
swiss,eq,16,nMC,-0.0,0.115415,D
swiss,eq,16,LP1,0.05,0.14,D
swiss,eq,16,LP2,0.05,0.15,D
swiss,eq,16,MAX,-0.01,0.26,D
swiss,eq,16,SRS,-0.01,0.26,D
swiss,eq,16,WAV,0.05,0.15,D
swiss,eq,16,nMC,-0.55,0.060869,I
swiss,eq,16,LP1,-0.41,0.08,I
swiss,eq,16,LP2,-0.39,0.09,I
swiss,eq,16,MAX,-0.03,0.14,I
swiss,eq,16,SRS,-0.03,0.13,I
swiss,eq,16,WAV,-0.61,0.07,I
swiss,eq,16,nMC,0.12,0.016776,L
swiss,eq,16,LP1,0.15,0.03,L
swiss,eq,16,LP2,0.16,0.03,L
swiss,eq,16,MAX,0.25,0.05,L
swiss,eq,16,SRS,0.25,0.05,L
swiss,eq,16,WAV,0.15,0.03,L
