
 RANDOM RANDOM RANDOM RANDOM RANDOM RANDOM RANDOM RANDOM
n = 4
coords = coords_dict['random']
probs = probs_dict['random']['equal']

density	-0.007950	0.161110
moran	-0.360584	0.104291
local_balance	0.422821	0.114923
voronoi	0.157984	0.079173

density	0.005140	0.178081
moran	-0.391862	0.078949
local_balance	0.422183	0.084517
voronoi	0.148888	0.068053

n = 8
coords = coords_dict['random']
probs = probs_dict['random']['equal']

density	0.013628	0.093668
moran	-0.427695	0.086669
local_balance	0.250393	0.060790
voronoi	0.107392	0.050592

density	0.033949	0.162697
moran	-0.477968	0.094206
local_balance	0.237302	0.049770
voronoi	0.102496	0.043633


n = 16
coords = coords_dict['random']
probs = probs_dict['random']['equal']

density	0.012788	0.071041
moran	-0.480112	0.097094
local_balance	0.138677	0.025966
voronoi	0.078912	0.037161

density        0.022700  0.088284
moran         -0.600125  0.077446
local_balance  0.123687  0.027248
voronoi        0.067392  0.026525



n = 4
coords = coords_dict['random']
probs = probs_dict['random']['unequal']

density       -0.156800  0.147418
moran         -0.274403  0.125302
local_balance  0.749932  1.823520
voronoi        0.183924  0.129522

density       -0.094367  0.174691
moran         -0.331545  0.079968
local_balance  0.694449  1.787961
voronoi        0.125850  0.088571

n = 8
coords = coords_dict['random']
probs = probs_dict['random']['unequal']

density  	   -0.153835	0.129925
moran	       -0.273129	0.092372
local_balance	0.566397	1.249413
voronoi	        0.132248	0.067047

density       -0.134665  0.245001
moran         -0.359888  0.074276
local_balance  0.519341  1.256762
voronoi        0.104305  0.062197

n = 16
coords = coords_dict['random']
probs = probs_dict['random']['unequal']

density     	-0.139236	0.161235
moran	        -0.324329	0.075035
local_balance   0.405680	0.856879
voronoi	         0.105314	0.043222

density       -0.118753  0.222348
moran         -0.425555  0.071392
local_balance  0.392556  0.848621
voronoi        0.084469  0.023684



CLUSTER CLUSTER CLUSTER CLUSTER CLUSTER CLUSTER CLUSTER
n = 4
coords = coords_dict['cluster']
probs = probs_dict['cluster']['equal']

density       -0.078577  0.293857
moran         -0.379218  0.217193
local_balance  0.390504  0.079333
voronoi        0.159144  0.051305


density       -0.047196  0.207146
moran         -0.499596  0.229305
local_balance  0.356458  0.070360
voronoi        0.145592  0.075854


n = 8
coords = coords_dict['cluster']
probs = probs_dict['cluster']['equal']

density      	0.011225	0.100382
moran	       -0.367894	0.128869
local_balance	0.232218	0.042271
voronoi	        0.138608	0.055230

density       -0.006810  0.120618
moran         -0.577104  0.094576
local_balance  0.230568  0.057252
voronoi        0.138368  0.057845

n = 16
coords = coords_dict['cluster']
probs = probs_dict['cluster']['equal']

density        0.012539  0.081370
moran         -0.461519  0.084204
local_balance  0.201182  0.033611
voronoi        0.200288  0.061802

density       -0.007189  0.092783
moran         -0.655114  0.051272
local_balance  0.170615  0.038094
voronoi        0.148672  0.059327

n = 4
coords = coords_dict['cluster']
probs = probs_dict['cluster']['uequal']


density       -0.007226  0.103173
moran         -0.607303  0.058875
local_balance  0.177993  0.038856
voronoi        0.163680  0.066110

density       -0.274445  0.319825
moran         -0.338947  0.093227
local_balance  0.648449  0.965822
voronoi        0.121366  0.065979


n = 8
coords = coords_dict['cluster']
probs = probs_dict['cluster']['uequal']


density       -0.004706  0.121207
moran         -0.198782  0.101285
local_balance  0.396184  0.625492
voronoi        0.146252  0.051832

density       -0.026826  0.140152
moran         -0.324253  0.072360
local_balance  0.447522  0.637704
voronoi        0.163281  0.066247


n = 16
coords = coords_dict['cluster']
probs = probs_dict['cluster']['uequal']

density       -0.054835  0.128098
moran         -0.155530  0.105843
local_balance  0.340549  0.418120
voronoi        0.173650  0.045836

density       -0.058083  0.135441
moran         -0.355587  0.052795
local_balance  0.334763  0.417193
voronoi        0.192426  0.048569



GRID GRID GRID GRID GRID GRID GRID
n = 4
coords = coords_dict['grid']
probs = probs_dict['grid']['equal']

density        0.000000  0.000000
moran         -0.456751  0.137355
local_balance  0.411552  0.152782
voronoi        0.166400  0.102328



n = 8
coords = coords_dict['grid']
probs = probs_dict['grid']['equal']

density        0.106631  0.152688
moran         -0.378741  0.080602
local_balance  0.256416  0.032874
voronoi        0.118144  0.035117

density        0.202905  0.127784
moran         -0.550326  0.071871
local_balance  0.197885  0.051410
voronoi        0.067200  0.034341


n = 16
coords = coords_dict['grid']
probs = probs_dict['grid']['equal']

density        0.089074  0.076553
moran         -0.502191  0.086772
local_balance  0.159049  0.019686
voronoi        0.101525  0.028666

density        0.132447  0.085666
moran         -0.651406  0.096320
local_balance  0.125840  0.017007
voronoi        0.066400  0.012939




n = 4
coords = coords_dict['grid']
probs = probs_dict['grid']['unequal']

density       -0.140617  0.149478
moran         -0.236163  0.119496
local_balance  0.792685  4.251267
voronoi        0.202623  0.122454

density       -0.086507  0.151954
moran         -0.325912  0.089114
local_balance  0.768012  4.252140
voronoi        0.145637  0.098887



n = 8
coords = coords_dict['grid']
probs = probs_dict['grid']['unequal']

density       -0.112985  0.163650
moran         -0.255941  0.094298
local_balance  0.628271  2.979716
voronoi        0.132643  0.063873

density       -0.059895  0.183464
moran         -0.326409  0.076193
local_balance  0.588694  2.979010
voronoi        0.081089  0.035255



n = 16
coords = coords_dict['grid']
probs = probs_dict['grid']['unequal']

density       -0.111972  0.108536
moran         -0.317758  0.081664
local_balance  0.486825  2.087251
voronoi        0.128094  0.046588

density       -0.095119  0.192238
moran         -0.375555  0.071660
local_balance  0.443431  2.088649
voronoi        0.101462  0.044100

SWISS SWISS SWISS SWISS SWISS SWISS SWISS SWISS
n = 4
coords = coords_dict['swiss']
probs = probs_dict['swiss']['equal']

density        0.024839  0.231293
moran         -0.337676  0.097463
local_balance  0.470185  0.091998
voronoi        0.184000  0.078326

density        0.105810  0.261252
moran         -0.469451  0.105974
local_balance  0.400814  0.134138
voronoi        0.140128  0.088215

n = 8
coords = coords_dict['swiss']
probs = probs_dict['swiss']['equal']

density        0.038767  0.091637
moran         -0.390801  0.079046
local_balance  0.272457  0.044845
voronoi        0.131904  0.045846

density        0.103186  0.145126
moran         -0.536773  0.095364
local_balance  0.223400  0.054127
voronoi        0.090496  0.048119

n = 16
coords = coords_dict['swiss']
probs = probs_dict['swiss']['equal']

density       -0.017364  0.115415
moran         -0.449668  0.060869
local_balance  0.157605  0.016776
voronoi        0.105920  0.027646



density        0.020251  0.127693
moran         -0.642570  0.116830
local_balance  0.142374  0.021817
voronoi        0.083520  0.025855


n = 4
coords = coords_dict['swiss']
probs = probs_dict['swiss']['unequal']

density        0.130336  0.288971
moran         -0.187365  0.082520
local_balance  1.170769  1.543722
voronoi        0.106358  0.085284

density        0.198617  0.285829
moran         -0.255954  0.081192
local_balance  1.154211  1.591395
voronoi        0.101669  0.072864


n = 8
coords = coords_dict['swiss']
probs = probs_dict['swiss']['unequal']

density        0.112558  0.184839
moran         -0.172381  0.072230
local_balance  0.909633  0.982896
voronoi        0.144510  0.084666

measure                          
density        0.150349  0.227671
moran         -0.273491  0.049093
local_balance  0.902453  1.014312
voronoi        0.129261  0.082354

n = 16
coords = coords_dict['swiss']
probs = probs_dict['swiss']['unequal']

density       -0.023237  0.146039
moran         -0.175716  0.112527
local_balance  0.653075  0.642213
voronoi        0.104398  0.082841

density        0.155336  0.178131
moran         -0.255843  0.054756
local_balance  0.926304  0.988973
voronoi        0.132005  0.063552
