Population,Probability,Method,n,N,Dm,Ds
Clustered,UP,MAX,4,144,-0.222011,0.323966
Clustered,UP,SCP,4,144,-0.097165,0.250533
Clustered,UP,LPV,4,144,-0.099182,0.247578
Clustered,UP,WAV,4,144,-0.093114,0.234748
Clustered,UP,MAX,8,144,-0.118952,0.279499
Clustered,UP,SCP,8,144,0.017536,0.146823
Clustered,UP,LPV,8,144,0.013083,0.142689
Clustered,UP,WAV,8,144,0.014995,0.132388
Clustered,UP,MAX,16,144,-0.037762,0.22742
Clustered,UP,SCP,16,144,-0.022541,0.115969
Clustered,UP,LPV,16,144,-0.023584,0.11203
Clustered,UP,WAV,16,144,-0.013183,0.119704
Clustered,UP,MAX,32,144,-0.013262,0.152941
Clustered,UP,SCP,32,144,-0.011374,0.056775
Clustered,UP,LPV,32,144,-0.011784,0.056696
Clustered,UP,WAV,32,144,-0.001921,0.064531
Gridded,UP,MAX,4,144,-0.286755,0.349355
Gridded,UP,SCP,4,144,0.014906,0.283303
Gridded,UP,LPV,4,144,-0.022439,0.277411
Gridded,UP,WAV,4,144,0.062111,0.253735
Gridded,UP,MAX,8,144,-0.182553,0.324026
Gridded,UP,SCP,8,144,0.104193,0.218598
Gridded,UP,LPV,8,144,0.099851,0.214362
Gridded,UP,WAV,8,144,0.130048,0.184643
Gridded,UP,MAX,16,144,-0.080216,0.26443
Gridded,UP,SCP,16,144,0.084004,0.139994
Gridded,UP,LPV,16,144,0.085459,0.139243
Gridded,UP,WAV,16,144,0.081918,0.123067
Gridded,UP,MAX,32,144,-0.026369,0.181336
Gridded,UP,SCP,32,144,0.036067,0.090743
Gridded,UP,LPV,32,144,0.034785,0.093634
Gridded,UP,WAV,32,144,0.026493,0.087885
Random,UP,MAX,4,144,-0.204033,0.360904
Random,UP,SCP,4,144,0.095159,0.285864
Random,UP,LPV,4,144,0.084231,0.274213
Random,UP,WAV,4,144,0.14915,0.239198
Random,UP,MAX,8,144,-0.156314,0.327006
Random,UP,SCP,8,144,0.082069,0.214639
Random,UP,LPV,8,144,0.065784,0.222811
Random,UP,WAV,8,144,0.09438,0.19423
Random,UP,MAX,16,144,-0.087381,0.267625
Random,UP,SCP,16,144,0.053494,0.140235
Random,UP,LPV,16,144,0.045104,0.13685
Random,UP,WAV,16,144,0.038818,0.129654
Random,UP,MAX,32,144,-0.034624,0.185219
Random,UP,SCP,32,144,0.027844,0.083246
Random,UP,LPV,32,144,0.026909,0.084512
Random,UP,WAV,32,144,0.0228,0.086545
meuse,UP,MAX,5,155,-0.058874,0.336565
meuse,UP,SCP,5,155,0.090215,0.179999
meuse,UP,LPV,5,155,0.080693,0.171775
meuse,UP,WAV,5,155,0.082883,0.161991
meuse,UP,MAX,10,155,-0.014869,0.248743
meuse,UP,SCP,10,155,0.061981,0.108314
meuse,UP,LPV,10,155,0.061245,0.10648
meuse,UP,WAV,10,155,0.054867,0.110637
meuse,UP,MAX,20,155,-0.014916,0.167979
meuse,UP,SCP,20,155,0.01718,0.060827
meuse,UP,LPV,20,155,0.016335,0.059118
meuse,UP,WAV,20,155,0.016017,0.066859
swiss,UP,MAX,50,959,-0.003869,0.185455
swiss,UP,SCP,50,959,0.013482,0.078996
swiss,UP,LPV,50,959,0.01348,0.074831
swiss,UP,MAX,100,959,0.010611,0.132632
swiss,UP,SCP,100,959,0.01425,0.045373
swiss,UP,LPV,100,959,0.014676,0.042989
swiss,UP,MAX,150,959,-0.008305,0.10076
swiss,UP,SCP,150,959,-0.007156,0.032441
swiss,UP,LPV,150,959,-0.00747,0.03174
swiss,EP,MAX,50,959,-0.001638,0.174266
swiss,EP,SCP,50,959,0.017252,0.060455
swiss,EP,LPV,50,959,0.015962,0.058732
swiss,EP,MAX,100,959,-0.007269,0.122818
swiss,EP,SCP,100,959,0.007632,0.033193
swiss,EP,LPV,100,959,0.007844,0.031798
swiss,EP,MAX,150,959,-0.002715,0.100037
swiss,EP,SCP,150,959,0.001086,0.024129
swiss,EP,LPV,150,959,0.001518,0.023635
meuse,EP,MAX,5,155,-0.082092,0.329766
meuse,EP,SCP,5,155,0.064123,0.176124
meuse,EP,LPV,5,155,0.045360,0.170015
meuse,EP,WAV,5,155,0.052171,0.155331
meuse,EP,MAX,10,155,-0.026892,0.244412
meuse,EP,SCP,10,155,0.057497,0.099425
meuse,EP,LPV,10,155,0.055207,0.094911
meuse,EP,WAV,10,155,0.046209,0.094916
meuse,EP,MAX,20,155,0.000655,0.164342
meuse,EP,SCP,20,155,0.040030,0.059422
meuse,EP,LPV,20,155,0.034992,0.053606
meuse,EP,WAV,20,155,0.034613,0.058823
Random,EP,MAX,4,144,-0.089940,0.347306
Random,EP,SCP,4,144,0.057190,0.285669
Random,EP,LPV,4,144,0.029585,0.286687
Random,EP,WAV,4,144,0.082487,0.247964
Random,EP,MAX,8,144,-0.150940,0.331422
Random,EP,SCP,8,144,0.036977,0.262419
Random,EP,LPV,8,144,0.016990,0.264295
Random,EP,WAV,8,144,0.043616,0.242062
Random,EP,MAX,16,144,-0.057601,0.262159
Random,EP,SCP,16,144,0.073172,0.144691
Random,EP,LPV,16,144,0.069639,0.149717
Random,EP,WAV,16,144,0.064783,0.136408
Random,EP,MAX,32,144,-0.007628,0.184851
Random,EP,SCP,32,144,0.052518,0.082566
Random,EP,LPV,32,144,0.049315,0.083954
Random,EP,WAV,32,144,0.039699,0.083856
Gridded,EP,MAX,4,144,-0.129560,0.331043
Gridded,EP,SCP,4,144,0.047280,0.276089
Gridded,EP,LPV,4,144,0.021984,0.276729
Gridded,EP,WAV,4,144,0.068874,0.234479
Gridded,EP,MAX,8,144,-0.187970,0.315996
Gridded,EP,SCP,8,144,0.066019,0.248695
Gridded,EP,LPV,8,144,0.055558,0.251637
Gridded,EP,WAV,8,144,0.082599,0.225090
Gridded,EP,MAX,16,144,-0.052029,0.269027
Gridded,EP,SCP,16,144,0.129314,0.142794
Gridded,EP,LPV,16,144,0.118190,0.151975
Gridded,EP,WAV,16,144,0.114060,0.125016
Gridded,EP,MAX,32,144,-0.047888,0.186118
Gridded,EP,SCP,32,144,0.033871,0.092745
Gridded,EP,LPV,32,144,0.037019,0.095209
Gridded,EP,WAV,32,144,0.032029,0.084742
Clustered,EP,MAX,4,144,-0.191394,0.315444
Clustered,EP,SCP,4,144,-0.062978,0.247355
Clustered,EP,LPV,4,144,-0.076606,0.242736
Clustered,EP,WAV,4,144,-0.070246,0.230597
Clustered,EP,MAX,8,144,-0.136025,0.271449
Clustered,EP,SCP,8,144,-0.018024,0.145556
Clustered,EP,LPV,8,144,0.001261,0.140450
Clustered,EP,WAV,8,144,-0.007625,0.127284
Clustered,EP,MAX,16,144,-0.047061,0.233404
Clustered,EP,SCP,16,144,-0.018079,0.102118
Clustered,EP,LPV,16,144,-0.019340,0.099662
Clustered,EP,WAV,16,144,-0.011363,0.107884
Clustered,EP,MAX,32,144,-0.027048,0.156155
Clustered,EP,SCP,32,144,-0.007255,0.058659
Clustered,EP,LPV,32,144,-0.005514,0.060230
Clustered,EP,WAV,32,144,-0.004346,0.062710
