Population,Probability,Method,n,N,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls
Clustered,Equal,LPV,4.0,144.0,-0.0093912914319623,0.286982255812601,0.1532047839506166,0.0894415251258116,-0.2445726813896399,0.1294790279155947,0.3989581893818864,0.0902203521095566
Clustered,Equal,LPV,8.0,144.0,-0.006147008820546,0.1556252997397962,0.1413891975308642,0.0724228335356861,-0.279418352084856,0.0887353769088196,0.2235123912017892,0.061206006021441
Clustered,Equal,LPV,16.0,144.0,-0.0111513705635179,0.0980227186108113,0.1842237654320989,0.0605311553859392,-0.3129422325555019,0.0770666571583975,0.1901230393135838,0.034676362032033
Clustered,Equal,LPV,32.0,144.0,-0.0086966355491141,0.0576036389975696,0.1659092592592593,0.0425189844482926,-0.412183132803757,0.0736407487839886,0.1289823551644116,0.0185007332353406
Clustered,Equal,MAX,4.0,144.0,-0.2454350836935232,0.3427241113881438,0.301235185185184,0.2117790394086031,-0.0811796167194529,0.1212577325771155,0.5327370993553945,0.1532863928366548
Clustered,Equal,MAX,8.0,144.0,-0.1735707439787238,0.3154498362147273,0.4278712962962959,0.2745156372120913,-0.0493249833828482,0.1104347912807697,0.3935271561403218,0.1101345039372885
Clustered,Equal,MAX,16.0,144.0,-0.0949711000623068,0.2372589988369894,0.4551216049382718,0.2178666102938635,-0.0308927533445769,0.105898001254124,0.2916653650775347,0.0609772136084148
Clustered,Equal,MAX,32.0,144.0,-0.0498084455265966,0.1603559858833877,0.4133876543209878,0.1450892958496453,-0.0165106535500183,0.1090972249654944,0.199376265806958,0.0381868128767921
Clustered,Equal,SCP,4.0,144.0,-0.0045401896733257,0.2836792097499375,0.1464182098765426,0.084877015160418,-0.2611516711288074,0.1231779283037896,0.3904283974315206,0.0887282375690712
Clustered,Equal,SCP,8.0,144.0,-0.0080203609153068,0.1551211025710007,0.1384253086419754,0.0724504048769136,-0.3081840369992866,0.0838625879430954,0.222325736898254,0.0630571045632277
Clustered,Equal,SCP,16.0,144.0,-0.0091507147584733,0.0963750284079961,0.1753805555555557,0.0581132049911821,-0.3516433198142972,0.071636108685187,0.1853465608141125,0.0343577473522862
Clustered,Equal,SCP,32.0,144.0,-0.0092503003987414,0.05642132853274,0.1656938271604939,0.0416843503747788,-0.4457322269354157,0.0697097182501968,0.1288221065031871,0.0181299508340984
Clustered,Equal,WAV,4.0,144.0,0.0126341734552194,0.264709120187853,0.1509570216049376,0.0856216152156809,-0.3907146751291566,0.192942035581788,0.3827829337107677,0.0844678393022244
Clustered,Equal,WAV,8.0,144.0,-0.0119945337106915,0.1366112877046338,0.1422319444444445,0.0682535633758465,-0.4384338316625054,0.0957990285690014,0.2211996175034239,0.0589143658532837
Clustered,Equal,WAV,16.0,144.0,-0.0165517454252852,0.111064972629449,0.1830950617283952,0.0559961040714949,-0.5420750430282533,0.0689283742617187,0.1928115383992499,0.0342469635363762
Clustered,Equal,WAV,32.0,144.0,-0.0105923836824494,0.0638791046818195,0.1640543209876544,0.0378220864088526,-0.6808035345011222,0.0473638989631791,0.1287083445534114,0.0166653893263065
Clustered,Unequal,LPV,4.0,144.0,0.0559644885884854,0.2757508816568,0.1485098423634399,0.0820735506172163,-0.213899813433494,0.1017267671743088,0.6620609597598613,0.8015917749723507
Clustered,Unequal,LPV,8.0,144.0,0.0192318068045368,0.1630558427678445,0.1620755601228848,0.0720837742468375,-0.2421661829319945,0.0837046859054127,0.5135929731392462,0.5288354680017749
Clustered,Unequal,LPV,16.0,144.0,-0.0050366403787065,0.1050288607159454,0.210340258842186,0.0674902727838194,-0.2723306360381823,0.0745901372636982,0.4061138083985086,0.3678097938045447
