Population,Probability,Method,n,N,Dm,Ds
Clustered,UP,MAX,4,144,-0.222011,0.323966
Clustered,UP,SCP,4,144,-0.097165,0.250533
Clustered,UP,LPV,4,144,-0.099182,0.247578
Clustered,UP,WAV,4,144,-0.093114,0.234748
Clustered,UP,MAX,8,144,-0.118952,0.279499
Clustered,UP,SCP,8,144,0.017536,0.146823
Clustered,UP,LPV,8,144,0.013083,0.142689
Clustered,UP,WAV,8,144,0.014995,0.132388
Clustered,UP,MAX,16,144,-0.037762,0.22742
Clustered,UP,SCP,16,144,-0.022541,0.115969
Clustered,UP,LPV,16,144,-0.023584,0.11203
Clustered,UP,WAV,16,144,-0.013183,0.119704
Clustered,UP,MAX,32,144,-0.013262,0.152941
Clustered,UP,SCP,32,144,-0.011374,0.056775
Clustered,UP,LPV,32,144,-0.011784,0.056696
Clustered,UP,WAV,32,144,-0.001921,0.064531
Gridded,UP,MAX,4,144,-0.286755,0.349355
Gridded,UP,SCP,4,144,0.014906,0.283303
Gridded,UP,LPV,4,144,-0.022439,0.277411
Gridded,UP,WAV,4,144,0.062111,0.253735
Gridded,UP,MAX,8,144,-0.182553,0.324026
Gridded,UP,SCP,8,144,0.104193,0.218598
Gridded,UP,LPV,8,144,0.099851,0.214362
Gridded,UP,WAV,8,144,0.130048,0.184643
Gridded,UP,MAX,16,144,-0.080216,0.26443
Gridded,UP,SCP,16,144,0.084004,0.139994
Gridded,UP,LPV,16,144,0.085459,0.139243
Gridded,UP,WAV,16,144,0.081918,0.123067
Gridded,UP,MAX,32,144,-0.026369,0.181336
Gridded,UP,SCP,32,144,0.036067,0.090743
Gridded,UP,LPV,32,144,0.034785,0.093634
Gridded,UP,WAV,32,144,0.026493,0.087885
Random,UP,MAX,4,144,-0.204033,0.360904
Random,UP,SCP,4,144,0.095159,0.285864
Random,UP,LPV,4,144,0.084231,0.274213
Random,UP,WAV,4,144,0.14915,0.239198
Random,UP,MAX,8,144,-0.156314,0.327006
Random,UP,SCP,8,144,0.082069,0.214639
Random,UP,LPV,8,144,0.065784,0.222811
Random,UP,WAV,8,144,0.09438,0.19423
Random,UP,MAX,16,144,-0.087381,0.267625
Random,UP,SCP,16,144,0.053494,0.140235
Random,UP,LPV,16,144,0.045104,0.13685
Random,UP,WAV,16,144,0.038818,0.129654
Random,UP,MAX,32,144,-0.034624,0.185219
Random,UP,SCP,32,144,0.027844,0.083246
Random,UP,LPV,32,144,0.026909,0.084512
Random,UP,WAV,32,144,0.0228,0.086545
meuse,UP,MAX,5,155,-0.058874,0.336565
meuse,UP,SCP,5,155,0.090215,0.179999
meuse,UP,LPV,5,155,0.080693,0.171775
meuse,UP,WAV,5,155,0.082883,0.161991
meuse,UP,MAX,10,155,-0.014869,0.248743
meuse,UP,SCP,10,155,0.061981,0.108314
meuse,UP,LPV,10,155,0.061245,0.10648
meuse,UP,WAV,10,155,0.054867,0.110637
meuse,UP,MAX,20,155,-0.014916,0.167979
meuse,UP,SCP,20,155,0.01718,0.060827
meuse,UP,LPV,20,155,0.016335,0.059118
meuse,UP,WAV,20,155,0.016017,0.066859
swiss,UP,MAX,50,959,-0.003869,0.185455
swiss,UP,SCP,50,959,0.013482,0.078996
swiss,UP,LPV,50,959,0.01348,0.074831
swiss,UP,MAX,100,959,0.010611,0.132632
swiss,UP,SCP,100,959,0.01425,0.045373
swiss,UP,LPV,100,959,0.014676,0.042989
swiss,UP,MAX,150,959,-0.008305,0.10076
swiss,UP,SCP,150,959,-0.007156,0.032441
swiss,UP,LPV,150,959,-0.00747,0.03174
