pi_case,target_corr_z_pi,achieved_corr_z_pi,pi_min,pi_max,vincent_condition,Start_z_over_V,ABC_z_over_V,Random_z_over_V,evaluations_ABC,evaluations_Random
equal,0.0,0.0,0.2,0.2,True,1.0000000008095904,102.27617345476256,5.002432288239927,766,600
m90,-0.9,-0.8635104425584325,0.11589489291726525,0.315034981428209,True,1.0000043023126923,1.0000043023126923,1.0000043023126923,772,600
m80,-0.8,-0.7939303563047398,0.11589489291726525,0.315034981428209,True,1.0000044264583128,1.0000044264583128,1.0000044264583128,763,600
m60,-0.6,-0.5999653885809778,0.11589489291726525,0.315034981428209,True,1.000004484118135,1.000004484118135,1.000004484118135,771,600
m40,-0.4,-0.400034440187953,0.11589489291726525,0.315034981428209,True,1.0000050338120456,1.0000050338120456,1.0000050338120456,776,600
m20,-0.2,-0.19999121319349156,0.11589489291726525,0.315034981428209,True,1.0000044414987352,1.0000044414987352,1.0000044414987352,762,600
p20,0.2,0.1999785053327154,0.11589489291726525,0.315034981428209,True,1.000005263059657,1.000005263059657,1.000005263059657,793,600
p40,0.4,0.4000272237883876,0.11589489291726525,0.315034981428209,True,1.0000058683993729,1.0000058683993729,1.0000058683993729,753,600
p60,0.6,0.5999570067043157,0.11589489291726525,0.315034981428209,True,1.0000058265116427,1.0000058265116427,1.0000058265116427,761,600
p80,0.8,0.8009961521178063,0.11589489291726525,0.315034981428209,True,1.000007057143476,1.000007057143476,1.000007057143476,771,600
p90,0.9,0.9837248266749822,0.11589489291726525,0.315034981428209,True,1.000007436563411,1.006261309581402,1.000007436563411,767,600
