x,y
0.12779,0.77226
0.1267,0.76763
0.14628,0.79034
0.11702,0.80992
0.14763,0.77268
0.1372,0.7878
0.14351,0.7643
0.13921,0.79833
0.13654,0.7887
0.1284,0.80568
0.73091,0.76117
0.7259,0.79666
0.73016,0.76416
0.74972,0.78246
0.7128,0.77889
0.71736,0.79081
0.76157,0.78034
0.7534,0.80285
0.72232,0.7911
0.73864,0.77558
0.28005,0.34171
0.29606,0.36373
0.27914,0.37006
0.28301,0.363
0.28874,0.36324
0.26299,0.33367
0.2543,0.37114
0.28615,0.35236
0.2544,0.35161
0.26054,0.36915
0.17944,0.67165
0.1586,0.63827
0.18947,0.67906
0.16762,0.64835
0.19338,0.63726
0.15113,0.65838
0.18047,0.65003
0.15557,0.65401
0.15947,0.65685
0.19751,0.64822
0.36596,0.91234
0.36844,0.94542
0.35866,0.91224
0.36425,0.9314
0.33542,0.95288
0.34707,0.94923
0.34318,0.91169
0.33207,0.95206
0.36414,0.93481
0.36957,0.91465
0.15047,0.9209
0.14381,0.91971
0.14452,0.93312
0.11803,0.9385
0.12234,0.91256
0.12511,0.88367
0.11395,0.9087
0.10197,0.9039
0.13059,0.9286
0.13531,0.89639
0.64242,0.65324
0.62905,0.6554
0.66572,0.65278
0.64995,0.66376
0.65339,0.66091
0.68136,0.6557
0.66825,0.6403
0.67024,0.65473
0.67526,0.63275
0.63204,0.64078
0.79534,0.83172
0.75857,0.87262
0.76379,0.85336
0.75175,0.86695
0.79892,0.84487
0.76974,0.86173
0.75128,0.86173
0.75897,0.86431
0.77335,0.84992
0.78428,0.87667
0.92619,0.38178
0.9543,0.36755
0.93723,0.33891
0.93167,0.38191
0.93196,0.37949
0.96189,0.37082
0.90684,0.35239
0.93254,0.35736
0.93813,0.3774
0.92262,0.35647
0.60699,0.63599
0.62439,0.59372
0.59519,0.61071
0.64684,0.62474
0.62854,0.60978
0.63163,0.63364
0.62693,0.60006
0.60358,0.62602
0.61518,0.60267
0.59299,0.61456
0.23002,0.21072
0.24434,0.20492
0.23126,0.23385
0.25115,0.22343
0.26347,0.22635
0.21989,0.23041
0.23442,0.19572
0.22543,0.20134
0.24193,0.20163
0.26122,0.20819
0.54952,0.3652
0.54545,0.34779
0.57208,0.36979
0.53532,0.35789
0.55035,0.36204
0.54384,0.38536
0.55655,0.33661
0.52591,0.37215
0.53132,0.38003
0.56187,0.35906
0.52865,0.95094
0.54677,0.92531
0.53613,0.93779
0.53396,0.9216
0.52266,0.95761
0.51942,0.92034
0.56345,0.92147
0.56694,0.9322
0.55286,0.92169
0.56514,0.9336
0.24493,0.70352
0.26858,0.70719
0.24374,0.74544
0.24209,0.70546
0.24127,0.74656
0.25516,0.72197
0.28539,0.71421
0.244,0.74222
0.2631,0.75495
0.24116,0.71756
0.13023,0.78671
0.12991,0.81937
0.17717,0.80242
0.15372,0.80158
0.1699,0.80782
0.15851,0.78069
0.14764,0.7898
0.15183,0.79031
0.14958,0.81639
0.17075,0.80487
0.4897,0.19381
0.49621,0.1499
0.49123,0.14992
0.50224,0.16671
0.48948,0.17079
0.51605,0.15612
0.4825,0.17643
0.5071,0.18968
0.52255,0.1796
0.49194,0.15741
0.17347,0.071005
0.20633,0.048523
0.19544,0.060702
0.18541,0.051935
0.17492,0.066951
0.18263,0.086389
0.17317,0.078875
0.16901,0.058836
0.1893,0.063296
0.19251,0.07572
0.54385,0.80959
0.52077,0.82302
0.52116,0.83918
0.53919,0.80225
0.54501,0.82511
0.52446,0.80499
0.52323,0.81154
0.55588,0.81922
0.5287,0.83062
0.54781,0.82658
0.39022,0.68236
0.42496,0.69571
0.37314,0.69882
0.40096,0.71445
0.39351,0.70873
0.37105,0.69658
0.37018,0.68397
0.39046,0.67658
0.3902,0.70924
0.37505,0.6731
0.68306,0.83886
0.67148,0.81281
0.66821,0.79634
0.67786,0.82928
0.67418,0.7929
0.66381,0.8242
0.64592,0.83853
0.64352,0.81588
0.68608,0.81108
0.68527,0.82222
0.36506,0.81379
0.389,0.80788
0.37655,0.79812
0.39414,0.80881
0.39182,0.83807
0.37781,0.80018
0.3829,0.83725
0.3718,0.83089
0.37239,0.82535
0.37191,0.83205
0.87939,0.77495
0.9246,0.77221
0.90088,0.73982
0.89869,0.79345
0.91542,0.74295
0.91066,0.78244
0.91325,0.78102
0.89247,0.77597
0.88128,0.78537
0.88556,0.78059
0.73751,0.50547
0.76178,0.48123
0.74926,0.48364
0.73924,0.45148
0.77166,0.46721
0.76383,0.47958
0.74897,0.48434
0.74066,0.46898
0.77267,0.48575
0.7303,0.49718
0.58313,0.15385
0.57806,0.14867
0.58476,0.10754
0.58105,0.11536
0.58981,0.1295
0.57636,0.1231
0.59166,0.1361
0.61885,0.14076
0.61388,0.15328
0.58238,0.11497
0.62531,0.35159
0.62525,0.31908
0.61084,0.32369
0.61735,0.35228
0.60005,0.36066
0.60341,0.3386
0.5882,0.35341
0.585,0.32997
0.60593,0.33985
0.57913,0.34546
0.62655,0.61964
0.6076,0.60866
0.61869,0.65423
0.60369,0.61692
0.6003,0.63587
0.6331,0.60987
0.61012,0.6156
0.63648,0.61984
0.62295,0.60754
0.60499,0.63457
0.26681,0.55973
0.28351,0.57863
0.28562,0.55217
0.29451,0.56811
0.302,0.55896
0.27141,0.57791
0.29108,0.58961
0.29027,0.55567
0.28898,0.57398
0.319,0.58489
0.74283,0.27524
0.71729,0.26713
0.73882,0.29961
0.73104,0.3154
0.72198,0.28125
0.73655,0.28339
0.74692,0.30709
0.71023,0.3047
0.74889,0.305
0.73369,0.27026
0.31499,0.074985
0.31732,0.083472
0.31048,0.12357
0.29456,0.10372
0.29641,0.10553
0.28809,0.10189
0.30669,0.075343
0.32931,0.11086
0.29103,0.08793
0.30505,0.096991
0.69003,0.84694
0.69351,0.8918
0.67306,0.85636
0.67773,0.89188
0.71195,0.85123
0.71094,0.87779
0.69302,0.85869
0.66609,0.8775
0.69512,0.87129
0.69197,0.87982
0.11477,0.29997
0.083759,0.30912
0.11923,0.33631
0.085939,0.32093
0.13234,0.30827
0.094858,0.30589
0.13221,0.30748
0.10814,0.34007
0.12771,0.30985
0.12826,0.32077
0.69245,0.33244
0.66872,0.3535
0.6854,0.37142
0.68388,0.3375
0.69017,0.33091
0.67828,0.37131
0.69809,0.34838
0.69759,0.33837
0.65,0.33334
0.65845,0.35328
0.55296,0.11749
0.52743,0.11556
0.54772,0.1305
0.54785,0.083748
0.55049,0.08114
0.55305,0.081888
0.52258,0.11436
0.55362,0.089774
0.55383,0.098654
0.54512,0.09557
0.569,0.070907
0.54945,0.096371
0.5732,0.080305
0.5415,0.077633
0.54892,0.05376
0.52337,0.077979
0.55303,0.072509
0.53508,0.072065
0.56578,0.082652
0.57024,0.078387
0.36424,0.15674
0.36659,0.16106
0.37307,0.16543
0.35556,0.16828
0.37198,0.17684
0.34735,0.15733
0.36444,0.17475
0.35955,0.18983
0.35628,0.14501
0.35314,0.17035
0.20335,0.15621
0.17683,0.13564
0.20479,0.15501
0.20987,0.16467
0.21993,0.14516
0.18583,0.12495
0.20612,0.16273
0.19808,0.16766
0.21804,0.11589
0.1976,0.12213
0.5513,0.19013
0.52131,0.18821
0.55058,0.19581
0.53398,0.21698
0.55031,0.17003
0.52879,0.18182
0.51944,0.1998
0.52496,0.20726
0.54566,0.22272
0.53526,0.19856
0.085542,0.20108
0.10305,0.20811
0.11481,0.18119
0.087015,0.16206
0.072899,0.16803
0.10695,0.20535
0.10153,0.20192
0.073696,0.17315
0.071257,0.19402
0.090877,0.21143
0.78998,0.34515
0.77318,0.33395
0.79953,0.31261
0.7907,0.34562
0.81057,0.31061
0.76348,0.33106
0.76985,0.3439
0.79872,0.34005
0.77915,0.3278
0.7655,0.32452
0.68616,0.54808
0.69234,0.57555
0.66803,0.56314
0.667,0.56251
0.67264,0.56497
0.68989,0.54387
0.66071,0.55441
0.67662,0.55431
0.66081,0.55076
0.70528,0.55781
0.10976,0.36298
0.094141,0.33513
0.076203,0.36183
0.10243,0.3704
0.092568,0.38731
0.085214,0.38713
0.093319,0.35228
0.094703,0.35444
0.11599,0.37756
0.069046,0.37049
0.12455,0.39268
0.11971,0.3822
0.13149,0.38429
0.12786,0.36721
0.098507,0.36717
0.13241,0.38619
0.11622,0.33951
0.13738,0.37176
0.11001,0.39139
0.1248,0.35203
0.059005,0.59207
0.070762,0.57638
0.031434,0.61056
0.045976,0.57606
0.040546,0.58879
0.056226,0.57509
0.04432,0.59888
0.083801,0.61635
0.062792,0.58876
0.081298,0.602
0.91783,0.12604
0.96062,0.13542
0.96795,0.099215
0.95376,0.12371
0.9597,0.13857
0.92178,0.098315
0.93633,0.11221
0.94536,0.138
0.93117,0.13796
0.94994,0.089235
0.57288,0.5789
0.58373,0.57791
0.58781,0.59535
0.56972,0.59601
0.57331,0.60123
0.59232,0.59543
0.57852,0.59678
0.56603,0.57862
0.57304,0.60241
0.59125,0.60226
0.21703,0.31189
0.21892,0.30568
0.20183,0.35653
0.22791,0.31726
0.21532,0.32777
0.22851,0.30796
0.2279,0.30577
0.23356,0.35085
0.21035,0.34998
0.20697,0.33384
0.38882,0.28439
0.38636,0.26735
0.39446,0.28616
0.35862,0.26451
0.39255,0.25695
0.35653,0.26157
0.35735,0.27835
0.37687,0.27559
0.38011,0.28762
0.37486,0.28761
0.84709,0.52129
0.82731,0.52557
0.82518,0.52196
0.81648,0.53646
0.80051,0.53573
0.83269,0.50151
0.853,0.51759
0.8205,0.54421
0.83011,0.54389
0.84387,0.498
0.43155,0.55682
0.4791,0.53617
0.44674,0.56977
0.45778,0.52255
0.44878,0.56513
0.43519,0.56653
0.43166,0.53519
0.42821,0.54116
0.45643,0.56077
0.42722,0.55011
0.92972,0.57755
0.9113,0.58974
0.92959,0.6147
0.9115,0.59276
0.9187,0.5945
0.92736,0.58133
0.90495,0.60116
0.91967,0.60752
0.93831,0.58455
0.94554,0.5835
0.1788,0.58031
0.19481,0.59596
0.19265,0.61593
0.19446,0.5957
0.17223,0.59042
0.15911,0.6078
0.1678,0.61328
0.16808,0.6175
0.14711,0.58573
0.17316,0.61334
0.68103,0.1348
0.70794,0.11729
0.67357,0.10581
0.66656,0.11596
0.69951,0.12023
0.69095,0.12688
0.7092,0.10963
0.71394,0.12298
0.68728,0.11306
0.72356,0.11377
0.90174,0.55617
0.85377,0.56369
0.88386,0.53856
0.86012,0.57452
0.86965,0.54537
0.89874,0.54496
0.9051,0.55061
0.87927,0.56305
0.88542,0.54801
0.88234,0.54159
0.89105,0.37117
0.91847,0.38993
0.88436,0.38606
0.91671,0.3837
0.88513,0.42435
0.86946,0.39578
0.88589,0.40277
0.88623,0.39033
0.91543,0.41032
0.89329,0.37051
0.87529,0.22519
0.87769,0.22011
0.90083,0.23196
0.89071,0.22961
0.88561,0.22488
0.90175,0.23588
0.9183,0.23693
0.87835,0.22075
0.8994,0.23074
0.91549,0.23216
0.66739,0.41662
0.65772,0.3806
0.65414,0.40814
0.64428,0.41178
0.64763,0.37991
0.65206,0.37305
0.67769,0.40868
0.64035,0.40037
0.66235,0.40475
0.63831,0.38447
0.874,0.20226
0.87775,0.23576
0.88557,0.2228
0.91504,0.21882
0.91791,0.20325
0.89958,0.20243
0.90568,0.19077
0.90097,0.19196
0.90315,0.18929
0.88303,0.24006
0.49465,0.47879
0.54977,0.49846
0.51875,0.51152
0.51827,0.49381
0.52578,0.50906
0.54832,0.49456
0.53003,0.4694
0.52123,0.46731
0.49728,0.50071
0.53491,0.47329
0.45739,0.077133
0.47017,0.08963
0.45352,0.10558
0.47143,0.09841
0.4335,0.085261
0.43555,0.086014
0.4838,0.10795
0.46578,0.099697
0.46394,0.087673
0.45611,0.08764
0.09784,0.06824
0.094833,0.08303
0.05848,0.089323
0.08763,0.11044
0.074,0.081927
0.098087,0.086692
0.051553,0.087785
0.075469,0.10703
0.066997,0.092275
0.094286,0.091993
0.81035,0.65681
0.8361,0.63829
0.79561,0.64574
0.79729,0.64669
0.80641,0.66111
0.81279,0.63103
0.84914,0.65354
0.80795,0.64709
0.80796,0.64033
0.83346,0.66524
0.2289,0.11058
0.19321,0.11099
0.20156,0.09791
0.20347,0.10799
0.1937,0.11275
0.20848,0.12415
0.22134,0.092885
0.22774,0.102
0.23619,0.099112
0.2081,0.10704
0.70078,0.57596
0.71345,0.59134
0.70889,0.6065
0.71264,0.57558
0.71844,0.55986
0.70236,0.57336
0.70908,0.58305
0.71812,0.60885
0.70782,0.59147
0.6928,0.57102
0.93301,0.7044
0.91205,0.72722
0.94935,0.72785
0.92797,0.74154
0.91667,0.74493
0.89738,0.70372
0.94575,0.71397
0.90333,0.73862
0.94721,0.71628
0.91426,0.69445
0.83884,0.79797
0.83398,0.81703
0.84668,0.81717
0.86791,0.78472
0.86638,0.80853
0.84116,0.83177
0.86292,0.80052
0.86215,0.83319
0.83907,0.78969
0.86701,0.81824
0.81237,0.52898
0.77614,0.50749
0.78597,0.49137
0.78712,0.51388
0.82943,0.51526
0.79922,0.51178
0.82677,0.49708
0.82915,0.52035
0.81959,0.49681
0.77517,0.50533
0.60123,0.1523
0.56757,0.16013
0.55419,0.17431
0.59906,0.1397
0.59276,0.16105
0.55294,0.15359
0.5782,0.17103
0.58918,0.13815
0.56224,0.18291
0.5859,0.17117
0.36177,0.26189
0.36348,0.25877
0.36387,0.28473
0.37696,0.28909
0.36992,0.26233
0.3739,0.28909
0.37123,0.28741
0.38304,0.27677
0.35904,0.28486
0.39727,0.25846
0.18256,0.27253
0.2116,0.29879
0.18956,0.29516
0.21249,0.30478
0.19901,0.2872
0.20101,0.26933
0.18784,0.28181
0.22584,0.29696
0.19367,0.28083
0.21031,0.30483
0.42997,0.81139
0.43693,0.7959
0.46629,0.78186
0.45232,0.78076
0.45943,0.77701
0.47281,0.79044
0.47276,0.79799
0.4405,0.77943
0.4444,0.77223
