x, y
0.15112,0.37584
0.14526,0.42968
0.16547,0.41112
0.10785,0.3889
0.11965,0.43673
0.15839,0.39097
0.16742,0.38974
0.1019,0.41181
0.13599,0.44193
0.12535,0.43785
0.16047,0.43923
0.127,0.3781
0.10718,0.40417
0.69662,0.63036
0.73293,0.60411
0.71245,0.65798
0.71097,0.63299
0.72183,0.61548
0.72038,0.60932
0.74643,0.63952
0.70752,0.66556
0.74822,0.61604
0.73435,0.63615
0.74274,0.60489
0.73702,0.65015
0.73348,0.63735
0.25977,0.71217
0.26664,0.65798
0.25998,0.70518
0.26564,0.66195
0.29166,0.68629
0.24255,0.68154
0.24861,0.6974
0.30742,0.68348
0.29655,0.71341
0.25521,0.69778
0.27692,0.67715
0.28262,0.67891
0.30392,0.7082
0.18349,0.43782
0.18863,0.42842
0.19626,0.42875
0.16201,0.38942
0.15046,0.43925
0.19281,0.41427
0.15059,0.41328
0.15875,0.43661
0.18114,0.42891
0.15342,0.38452
0.19446,0.43878
0.1654,0.39793
0.19967,0.38318
0.31746,0.87105
0.35648,0.85996
0.32337,0.86524
0.32855,0.86902
0.37914,0.85755
0.37179,0.84038
0.37508,0.88438
0.36208,0.84025
0.36951,0.86573
0.33117,0.8943
0.34666,0.88945
0.34149,0.83952
0.32672,0.8932
0.14577,0.098154
0.15299,0.071344
0.15897,0.10867
0.15011,0.10708
0.15106,0.12492
0.11583,0.13207
0.12156,0.097574
0.12525,0.059148
0.1104,0.092435
0.094466,0.086056
0.13254,0.1189
0.13881,0.07606
0.10826,0.098908
0.62056,0.49895
0.66933,0.49546
0.64836,0.51006
0.65294,0.50627
0.69013,0.49934
0.67269,0.47886
0.67534,0.49805
0.68201,0.46882
0.62453,0.4795
0.68058,0.4665
0.63169,0.5209
0.63863,0.49528
0.62262,0.51336
0.80651,0.26297
0.7677,0.2854
0.74315,0.2854
0.75337,0.28883
0.7725,0.2697
0.78704,0.30527
0.76493,0.29992
0.80231,0.28099
0.7796,0.2429
0.77222,0.30009
0.77259,0.29688
0.8124,0.28534
0.73919,0.26083
0.93191,0.35638
0.93934,0.38304
0.91871,0.35521
0.91438,0.38688
0.93752,0.33066
0.89869,0.35327
0.96738,0.37192
0.94304,0.35202
0.94714,0.38376
0.9409,0.3391
0.90984,0.37362
0.92528,0.34257
0.89576,0.35838
0.60306,0.70493
0.62211,0.69721
0.60472,0.73569
0.63117,0.72183
0.64754,0.72571
0.58959,0.73112
0.60891,0.68498
0.59696,0.69245
0.6189,0.69284
0.64455,0.70156
0.62927,0.71912
0.62386,0.69596
0.65928,0.72522
0.23262,0.36763
0.2526,0.37316
0.24395,0.40417
0.26086,0.33933
0.2201,0.3866
0.22731,0.39709
0.26794,0.36919
0.2279,0.39452
0.25199,0.36042
0.23785,0.37703
0.23497,0.35549
0.21994,0.40339
0.21562,0.35382
0.57398,0.59795
0.57862,0.61222
0.5599,0.59823
0.57623,0.61407
0.5232,0.58714
0.55464,0.59203
0.52161,0.64289
0.51941,0.58973
0.51832,0.64439
0.5368,0.61168
0.57701,0.60137
0.52196,0.63862
0.54737,0.65555
0.51506,0.91496
0.51159,0.90945
0.51115,0.95289
0.57401,0.93035
0.54282,0.92924
0.56434,0.93754
0.54919,0.90146
0.53473,0.91356
0.54031,0.91425
0.53731,0.94893
0.56548,0.93361
0.52771,0.94806
0.53638,0.88966
0.24941,0.39284
0.26406,0.41516
0.24709,0.42059
0.28242,0.40108
0.2378,0.4281
0.27052,0.44571
0.29107,0.43231
0.25036,0.4028
0.24281,0.43996
0.28651,0.41006
0.27203,0.42625
0.25869,0.4146
0.24474,0.43457
0.14667,0.13741
0.13409,0.12742
0.12856,0.10076
0.15554,0.1067
0.15982,0.12322
0.17154,0.091034
0.14085,0.1089
0.14137,0.1304
0.16535,0.081283
0.17309,0.11168
0.14575,0.084928
0.14413,0.093632
0.18755,0.10384
0.49874,0.13279
0.52415,0.12742
0.48894,0.10957
0.53514,0.12733
0.46622,0.13147
0.50323,0.15225
0.49332,0.14464
0.46344,0.12847
0.46228,0.11171
0.48925,0.10188
0.48891,0.14531
0.46877,0.097252
0.51774,0.14463
0.18954,0.22454
0.18518,0.20263
0.19802,0.24644
0.19313,0.19805
0.17934,0.23969
0.15554,0.25875
0.15235,0.22862
0.20895,0.22223
0.20787,0.23705
0.15954,0.21978
0.19137,0.21192
0.17481,0.19893
0.19821,0.21315
0.53765,0.32556
0.51901,0.27517
0.52577,0.32447
0.51102,0.31601
0.51181,0.30865
0.51116,0.31756
0.49996,0.32037
0.56009,0.31674
0.52853,0.27365
0.52562,0.34498
0.54787,0.27782
0.54154,0.33033
0.54498,0.32845
0.38623,0.40628
0.37135,0.41879
0.37705,0.41243
0.38219,0.428
0.41448,0.39577
0.39782,0.39897
0.38449,0.3562
0.42761,0.37712
0.4172,0.39357
0.39743,0.3999
0.38638,0.37947
0.42895,0.40178
0.37261,0.41698
0.65074,0.82825
0.644,0.82136
0.65291,0.76666
0.64797,0.77707
0.65962,0.79587
0.64173,0.78735
0.66209,0.80464
0.69824,0.81085
0.69164,0.82749
0.64974,0.77655
0.69823,0.82729
0.69815,0.78406
0.67898,0.79019
0.40377,0.15041
0.38077,0.16155
0.38524,0.13222
0.36501,0.15192
0.36075,0.12073
0.38859,0.13388
0.35295,0.14134
0.38279,0.11395
0.35759,0.099338
0.37233,0.15995
0.35239,0.11033
0.34787,0.13553
0.3915,0.10095
0.87684,0.77346
0.91191,0.7791
0.89392,0.76273
0.87003,0.79869
0.86853,0.76764
0.89073,0.79278
0.89354,0.75759
0.90537,0.77879
0.91532,0.76662
0.87464,0.79182
0.90081,0.80738
0.89973,0.76224
0.89802,0.7866
0.78601,0.79734
0.77315,0.76489
0.73919,0.7541
0.76781,0.79729
0.75747,0.81829
0.74542,0.77287
0.76479,0.77573
0.77859,0.80724
0.72979,0.80406
0.78122,0.80446
0.76099,0.75826
0.75873,0.75053
0.76182,0.76181
0.60033,0.37993
0.57916,0.35354
0.58162,0.35594
0.57055,0.35111
0.59529,0.3158
0.62538,0.36304
0.57446,0.33254
0.59312,0.34459
0.59935,0.32014
0.60397,0.37981
0.57677,0.33268
0.58299,0.37991
0.62851,0.32585
0.63363,0.66946
0.6098,0.64406
0.57399,0.66908
0.6126,0.66081
0.6084,0.67216
0.6123,0.62747
0.57106,0.63964
