Population,Probability,Method,Design,N,n,Dm,Ds,Support,DI
meuse,EP,NMS,initial,155,5,0.06752969936575384,0.1509559144396827,34,nmedoids
meuse,EP,GMS,best,155,5,0.05713578695325308,0.09918778332474074,51,nmedoids
meuse,UP,NMS,initial,155,5,0.09505519354495082,0.11426282483895682,755,nmedoids
meuse,UP,GMS,best,155,5,0.10480066344297556,0.10641593684321744,155,nmedoids
meuse,EP,NMS,initial,155,10,0.05397776712185419,0.07962856183480989,31,nmedoids
meuse,EP,GMS,best,155,10,0.052447801367284136,0.07703098433769087,31,nmedoids
meuse,UP,NMS,initial,155,10,0.06607299729747418,0.07512917906212131,155,nmedoids
meuse,UP,GMS,best,155,10,0.06352494877209004,0.09692053203130327,155,nmedoids
meuse,EP,NMS,initial,155,20,0.03534787265053689,0.03919373528190478,31,nmedoids
meuse,EP,GMS,best,155,20,0.04091530473940429,0.04058865838170359,352,nmedoids
meuse,UP,NMS,initial,155,20,0.013016811735451708,0.03373391449995587,155,nmedoids
meuse,UP,GMS,best,155,20,0.008091786495991168,0.04466844016171801,221,nmedoids
swiss,EP,NMS,initial,959,50,5.8462429025297503e-05,0.04512562537296497,959,nmedoids
swiss,EP,GMS,best,959,50,-0.00013201354793455943,0.054908493945275735,959,nmedoids
swiss,UP,NMS,initial,959,50,0.007914236411676443,0.06893810564834474,3688,nmedoids
swiss,UP,GMS,best,959,50,0.012510900748565831,0.06481762164054602,959,nmedoids
swiss,EP,NMS,initial,959,100,0.014197568849855942,0.02278040139398381,959,nmedoids
swiss,EP,GMS,best,959,100,0.013996133636449713,0.02426697962225892,959,nmedoids
swiss,UP,NMS,initial,959,100,0.011675783023395865,0.04350753272800377,3536,nmedoids
swiss,UP,GMS,best,959,100,0.012419918941671555,0.04036554248817719,959,nmedoids
swiss,EP,NMS,initial,959,150,0.0016326500159428428,0.019984897207739903,959,nmedoids
swiss,EP,GMS,best,959,150,0.0016541394697989647,0.02285345784257164,959,nmedoids
swiss,UP,NMS,initial,959,150,-0.004212906236491379,0.02928143616679959,3387,nmedoids
swiss,UP,GMS,best,959,150,-0.0026704968112093385,0.03286383001467275,959,nmedoids
