x,y,copper,cadmium,lead,zinc
181072,333611,85,11.7,299,1022
181025,333558,81,8.6,277,1141
181165,333537,68,6.5,199,640
181298,333484,81,2.6,116,257
181307,333330,48,2.8,117,269
181390,333260,61,3.0,137,281
181165,333370,31,3.2,132,346
181027,333363,29,2.8,150,406
181060,333231,37,2.4,133,347
181232,333168,24,1.6,80,183
181191,333115,25,1.4,86,189
181032,333031,25,1.8,97,251
180874,333339,93,11.2,285,1096
180969,333252,31,2.5,183,504
181011,333161,27,2.0,130,326
180830,333246,86,9.5,240,1032
180763,333104,74,7.0,133,606
180694,332972,69,7.1,148,711
180625,332847,69,8.7,207,735
180555,332707,95,12.9,284,1052
180642,332708,53,5.5,194,673
180704,332717,35,2.8,123,402
180704,332664,35,2.9,110,343
181153,332925,24,1.7,85,218
181147,332823,26,1.4,75,200
181167,332778,22,1.5,76,194
181008,332777,27,1.3,73,207
180973,332687,24,1.3,67,180
180916,332753,22,1.8,87,240
181352,332946,21,1.5,65,180
181133,332570,29,1.3,78,208
180878,332489,21,1.3,64,198
180829,332450,27,2.1,77,250
180954,332399,26,1.2,80,192
180956,332318,27,1.6,82,213
180710,332330,32,3.0,97,321
180632,332445,50,5.8,166,569
180530,332538,67,7.9,217,833
180478,332578,77,8.1,219,906
180383,332476,108,14.1,405,1454
180494,332330,32,2.4,102,298
180561,332193,21,1.2,48,167
180451,332175,22,1.7,65,176
180410,332031,21,1.3,62,258
180355,332299,51,4.2,281,746
180292,332157,50,4.3,294,746
180283,332014,38,3.1,211,464
180282,331861,26,1.7,135,365
180270,331707,24,1.7,112,282
180199,331591,32,2.1,162,375
180135,331552,24,1.7,94,222
180237,332351,47,8.2,191,812
180103,332297,128,17.0,405,1548
179973,332255,117,12.0,654,1839
179826,332217,104,9.4,482,1528
179687,332161,76,8.2,276,933
179792,332035,36,2.6,180,432
179902,332113,34,3.5,207,550
180100,332213,90,10.9,541,1571
179604,332059,80,7.3,310,1190
179526,331936,78,9.4,210,907
179495,331770,77,8.3,158,761
179489,331633,65,7.0,141,659
179414,331494,66,6.8,144,643
179334,331366,72,7.4,181,801
179255,331264,75,6.6,173,784
179470,331125,75,7.8,399,1060
179692,330933,22,0.7,45,119
179852,330801,55,3.4,325,778
179140,330955,47,3.9,268,703
179128,330867,46,3.5,252,676
179065,330864,55,4.7,315,793
179007,330727,49,3.9,260,685
179110,330758,39,3.1,237,593
179032,330645,45,2.9,228,549
179095,330636,48,3.9,241,680
179058,330510,36,2.7,201,539
178810,330666,36,2.5,204,560
178912,330779,68,5.6,429,1136
178981,330924,88,9.4,462,1383
179076,331005,85,10.8,333,1161
180151,330353,76,18.1,464,1672
179211,331175,63,6.3,159,765
181118,333214,32,2.1,116,279
179474,331304,25,1.8,81,241
179559,331423,27,2.2,131,317
179022,330873,36,2.8,216,545
178953,330742,41,2.4,145,505
178875,330516,33,2.6,163,420
178803,330349,27,1.8,129,332
179029,330394,38,2.0,148,400
178605,330406,37,2.7,214,553
178701,330557,34,2.7,226,577
179547,330245,19,0.9,54,155
179301,330179,22,0.9,70,224
179405,330567,26,0.4,73,180
179462,330766,25,0.8,87,226
179293,330797,22,0.4,76,186
179180,330710,24,0.4,81,198
179206,330398,18,0.4,68,187
179618,330458,23,0.8,66,199
179782,330540,22,0.4,49,157
179980,330773,23,0.4,63,203
180067,331185,23,0.4,48,143
180162,331387,23,0.2,51,136
180451,331473,18,0.2,50,117
180328,331158,20,0.4,39,113
180276,330963,22,0.2,48,130
180114,330803,27,0.2,64,192
179881,330912,25,0.4,84,240
179774,330921,30,0.2,67,221
179657,331150,23,0.2,49,140
179731,331245,24,0.2,48,128
179717,331441,21,0.2,56,166
179446,331422,24,0.2,65,191
179524,331565,21,0.2,84,232
179644,331730,23,0.2,75,203
180321,330366,53,3.7,250,722
180162,331837,33,0.2,81,210
180029,331720,22,0.2,72,198
179797,331919,23,0.2,86,139
179642,331955,25,0.2,94,253
179849,332142,30,1.2,244,703
180265,332297,47,2.4,297,832
180107,332101,31,0.2,96,262
180462,331947,20,0.2,56,142
180478,331822,16,0.2,49,119
180347,331700,17,0.2,50,152
180862,333116,26,0.4,148,415
180700,332882,34,1.6,162,474
180201,331160,18,0.8,37,126
180173,331923,23,1.2,80,210
180923,332874,20,0.2,80,220
180467,331694,14,0.2,49,133
179917,331325,46,0.8,42,141
179822,331242,29,1.0,48,158
179991,331069,19,0.8,41,129
179120,330578,31,1.2,73,206
179034,330561,27,2.0,146,451
179085,330433,29,1.5,95,296
179236,330046,22,1.1,72,189
179456,330072,20,0.8,51,154
179550,329940,20,0.8,54,169
179445,329807,29,2.1,136,403
179337,329870,38,2.5,170,471
179245,329714,39,3.8,179,612
179024,329733,35,3.2,200,601
178786,329822,42,3.1,258,783
179135,329890,24,1.5,93,258
179030,330082,20,1.2,68,214
179184,330182,20,0.8,49,166
179085,330292,39,3.1,173,496
178875,330311,31,2.1,119,342
179466,330381,21,0.8,51,162
180627,330190,27,2.7,124,375
