x, y
0,0.93187
0.5,0.080018
0.25,0.41335
0.75,0.74668
0.125,0.19113
0.625,0.52446
0.375,0.8578
0.875,0.30224
0.0625,0.63557
0.5625,0.96891
0.3125,0.01829
0.8125,0.35162
0.1875,0.68496
0.6875,0.1294
0.4375,0.46273
0.9375,0.79607
0.03125,0.24051
0.53125,0.57385
0.28125,0.90718
0.78125,0.055327
0.15625,0.38866
0.65625,0.72199
0.40625,0.16644
0.90625,0.49977
0.09375,0.8331
0.59375,0.27755
0.34375,0.61088
0.84375,0.94422
0.21875,0.092364
0.71875,0.4257
0.46875,0.75903
0.96875,0.20348
0.015625,0.53681
0.51563,0.87014
0.26563,0.31459
0.76563,0.64792
0.14063,0.98125
0.64063,0.030636
0.39063,0.36397
0.89063,0.6973
0.078125,0.14175
0.57813,0.47508
0.32813,0.80841
0.82813,0.25286
0.20313,0.58619
0.70313,0.91952
0.45313,0.067673
0.95313,0.40101
0.046875,0.73434
0.54688,0.17878
0.29688,0.51212
0.79688,0.84545
0.17188,0.28989
0.67188,0.62323
0.42188,0.95656
0.92188,0.10471
0.10938,0.43804
0.60938,0.77138
0.35938,0.21582
0.85938,0.54915
0.23438,0.88249
0.73438,0.32693
0.48438,0.66027
0.98438,0.9936
0.0078125,0.010059
0.50781,0.34339
0.25781,0.67673
0.75781,0.12117
0.13281,0.4545
0.63281,0.78784
0.38281,0.23228
0.88281,0.56561
0.070313,0.89895
0.57031,0.047096
0.32031,0.38043
0.82031,0.71376
0.19531,0.15821
0.69531,0.49154
0.44531,0.82487
0.94531,0.26932
0.039063,0.60265
0.53906,0.93599
0.28906,0.084134
0.78906,0.41747
0.16406,0.7508
0.66406,0.19524
0.41406,0.52858
0.91406,0.86191
0.10156,0.30636
0.60156,0.63969
0.35156,0.97302
0.85156,0.022405
0.22656,0.35574
0.72656,0.68907
0.47656,0.13352
0.97656,0.46685
0.023438,0.80018
0.52344,0.24463
0.27344,0.57796
0.77344,0.91129
0.14844,0.059442
0.64844,0.39278
0.39844,0.72611
0.89844,0.17055
0.085938,0.50389
0.58594,0.83722
0.33594,0.28166
0.83594,0.615
0.21094,0.94833
0.71094,0.096479
0.46094,0.42981
0.96094,0.76315
0.054688,0.20759
0.55469,0.54092
0.30469,0.87426
0.80469,0.3187
0.17969,0.65203
0.67969,0.98537
0.42969,0.034751
0.92969,0.36808
0.11719,0.70142
0.61719,0.14586
0.36719,0.4792
0.86719,0.81253
0.24219,0.25697
0.74219,0.59031
0.49219,0.92364
0.99219,0.071788
0.0039063,0.40512
0.50391,0.73845
0.25391,0.1829
0.75391,0.51623
0.12891,0.84957
0.62891,0.29401
0.37891,0.62734
0.87891,0.96068
0.066406,0.10882
0.56641,0.44216
0.31641,0.77549
0.81641,0.21994
0.19141,0.55327
0.69141,0.8866
0.44141,0.33105
0.94141,0.66438
0.035156,0.99771
0.53516,0.0032007
0.28516,0.33653
0.78516,0.66987
0.16016,0.11431
0.66016,0.44765
0.41016,0.78098
0.91016,0.22542
0.097656,0.55876
0.59766,0.89209
0.34766,0.040238
0.84766,0.37357
0.22266,0.7069
0.72266,0.15135
0.47266,0.48468
0.97266,0.81802
0.019531,0.26246
0.51953,0.59579
0.26953,0.92913
0.76953,0.077275
0.14453,0.41061
0.64453,0.74394
0.39453,0.18839
0.89453,0.52172
0.082031,0.85505
0.58203,0.2995
0.33203,0.63283
0.83203,0.96616
0.20703,0.015546
0.70703,0.34888
0.45703,0.68221
0.95703,0.12666
0.050781,0.45999
0.55078,0.79332
0.30078,0.23777
0.80078,0.5711
0.17578,0.90444
0.67578,0.052583
0.42578,0.38592
0.92578,0.71925
0.11328,0.16369
0.61328,0.49703
0.36328,0.83036
0.86328,0.27481
0.23828,0.60814
0.73828,0.94147
0.48828,0.08962
0.98828,0.42295
0.011719,0.75629
0.51172,0.20073
0.26172,0.53406
0.76172,0.8674
0.13672,0.31184
0.63672,0.64518
0.38672,0.97851
0.88672,0.027892
0.074219,0.36123
0.57422,0.69456
0.32422,0.139
0.82422,0.47234
0.19922,0.80567
0.69922,0.25011
0.44922,0.58345
0.94922,0.91678
0.042969,0.064929
0.54297,0.39826
0.29297,0.7316
0.79297,0.17604
0.16797,0.50937
0.66797,0.84271
0.41797,0.28715
0.91797,0.62048
0.10547,0.95382
0.60547,0.10197
0.35547,0.4353
0.85547,0.76863
0.23047,0.21308
0.73047,0.54641
0.48047,0.87974
0.98047,0.32419
0.027344,0.65752
0.52734,0.99086
0.27734,0.007316
0.77734,0.34065
0.15234,0.67398
0.65234,0.11843
0.40234,0.45176
0.90234,0.78509
0.089844,0.22954
0.58984,0.56287
0.33984,0.8962
0.83984,0.044353
0.21484,0.37769
0.71484,0.71102
0.46484,0.15546
0.96484,0.4888
0.058594,0.82213
0.55859,0.26658
0.30859,0.59991
0.80859,0.93324
0.18359,0.08139
0.68359,0.41472
0.43359,0.74806
0.93359,0.1925
0.12109,0.52583
0.62109,0.85917
0.37109,0.30361
0.87109,0.63695
0.24609,0.97028
0.74609,0.019662
0.49609,0.35299
0.99609,0.68633
0.0019531,0.13077
0.50195,0.46411
0.25195,0.79744
0.75195,0.24188
0.12695,0.57522
0.62695,0.90855
0.37695,0.056699
0.87695,0.39003
0.064453,0.72337
0.56445,0.16781
0.31445,0.50114
0.81445,0.83448
0.18945,0.27892
0.68945,0.61225
0.43945,0.94559
0.93945,0.093736
0.033203,0.42707
0.5332,0.7604
0.2832,0.20485
0.7832,0.53818
0.1582,0.87151
0.6582,0.31596
0.4082,0.64929
0.9082,0.98262
0.095703,0.032007
0.5957,0.36534
0.3457,0.69867
0.8457,0.14312
0.2207,0.47645
0.7207,0.80979
0.4707,0.25423
0.9707,0.58756
0.017578,0.9209
0.51758,0.069044
0.26758,0.40238
0.76758,0.73571
0.14258,0.18016
0.64258,0.51349
0.39258,0.84682
0.89258,0.29127
0.080078,0.6246
0.58008,0.95793
0.33008,0.10608
0.83008,0.43941
0.20508,0.77275
0.70508,0.21719
0.45508,0.55053
0.95508,0.88386
0.048828,0.3283
0.54883,0.66164
0.29883,0.99497
0.79883,0.011431
0.17383,0.34476
0.67383,0.6781
0.42383,0.12254
0.92383,0.45588
0.11133,0.78921
0.61133,0.23365
0.36133,0.56699
0.86133,0.90032
0.23633,0.048468
0.73633,0.3818
0.48633,0.71513
0.98633,0.15958
0.0097656,0.49291
0.50977,0.82625
0.25977,0.27069
0.75977,0.60402
0.13477,0.93736
0.63477,0.085505
0.38477,0.41884
0.88477,0.75217
0.072266,0.19662
0.57227,0.52995
0.32227,0.86328
0.82227,0.30773
0.19727,0.64106
0.69727,0.97439
0.44727,0.023777
0.94727,0.35711
0.041016,0.69044
0.54102,0.13489
0.29102,0.46822
