Pik,Metric,Method,n,Value,Simulated,Abs_Error
Equal,B (Voronoi),Lopi,15,0.119,0.127,0.008
Equal,B (Voronoi),Scps,15,0.125,0.116,0.009
Equal,B (Voronoi),Lopi,30,0.118,0.125,0.007
Equal,B (Voronoi),Scps,30,0.123,0.124,0.001
Equal,B (Voronoi),Lopi,50,0.139,0.143,0.004
Equal,B (Voronoi),Scps,50,0.132,0.144,0.012
Unequal,B (Voronoi),Lopi,15,0.115,0.126,0.011
Unequal,B (Voronoi),Scps,15,0.121,0.12,0.001
Unequal,B (Voronoi),Lopi,30,0.12,0.124,0.004
Unequal,B (Voronoi),Scps,30,0.121,0.121,0.0
Unequal,B (Voronoi),Lopi,50,0.138,0.135,0.003
Unequal,B (Voronoi),Scps,50,0.133,0.136,0.003
Equal,IB (Moran),Lopi,15,-0.518,-0.313,0.205
Equal,IB (Moran),Scps,15,-0.338,-0.368,0.03
Equal,IB (Moran),Lopi,30,-0.664,-0.398,0.266
Equal,IB (Moran),Scps,30,-0.427,-0.448,0.021
Equal,IB (Moran),Lopi,50,-0.796,-0.474,0.322
Equal,IB (Moran),Scps,50,-0.519,-0.497,0.022
Unequal,IB (Moran),Lopi,15,-0.354,-0.226,0.128
Unequal,IB (Moran),Scps,15,-0.244,-0.257,0.013
Unequal,IB (Moran),Lopi,30,-0.427,-0.257,0.17
Unequal,IB (Moran),Scps,30,-0.29,-0.289,0.001
Unequal,IB (Moran),Lopi,50,-0.455,-0.269,0.186
Unequal,IB (Moran),Scps,50,-0.305,-0.293,0.012
