Population,Probability,Method,n,N,Dm,Ds,Vm,Vs,Mm,Ms,Lm,Ls,Dm_kmeans,Ds_kmeans
Clustered,Equal,LPV,4,144,-0.076606,0.242736,0.1532047839506166,0.0894415251258116,-0.2445726813896399,0.1294790279155947,0.3989581893818864,0.0902203521095566,-0.0093912914319623,0.286982255812601
Clustered,Equal,LPV,8,144,0.001261,0.14045,0.1413891975308642,0.0724228335356861,-0.279418352084856,0.0887353769088196,0.2235123912017892,0.061206006021441,-0.006147008820546,0.1556252997397962
Clustered,Equal,LPV,16,144,-0.01934,0.099662,0.1842237654320989,0.0605311553859392,-0.3129422325555019,0.0770666571583975,0.1901230393135838,0.034676362032033,-0.0111513705635179,0.0980227186108113
Clustered,Equal,LPV,32,144,-0.005514,0.06023,0.1659092592592593,0.0425189844482926,-0.412183132803757,0.0736407487839886,0.1289823551644116,0.0185007332353406,-0.0086966355491141,0.0576036389975696
Clustered,Equal,MAX,4,144,-0.191394,0.315444,0.301235185185184,0.2117790394086031,-0.0811796167194529,0.1212577325771155,0.5327370993553945,0.1532863928366548,-0.2454350836935232,0.3427241113881438
Clustered,Equal,MAX,8,144,-0.136025,0.271449,0.4278712962962959,0.2745156372120913,-0.0493249833828482,0.1104347912807697,0.3935271561403218,0.1101345039372885,-0.1735707439787238,0.3154498362147273
Clustered,Equal,MAX,16,144,-0.047061,0.233404,0.4551216049382718,0.2178666102938635,-0.0308927533445769,0.105898001254124,0.2916653650775347,0.0609772136084148,-0.0949711000623068,0.2372589988369894
Clustered,Equal,MAX,32,144,-0.027048,0.156155,0.4133876543209878,0.1450892958496453,-0.0165106535500183,0.1090972249654944,0.199376265806958,0.0381868128767921,-0.0498084455265966,0.1603559858833877
Clustered,Equal,SCP,4,144,-0.062978,0.247355,0.1464182098765426,0.084877015160418,-0.2611516711288074,0.1231779283037896,0.3904283974315206,0.0887282375690712,-0.0045401896733257,0.2836792097499375
Clustered,Equal,SCP,8,144,-0.018024,0.145556,0.1384253086419754,0.0724504048769136,-0.3081840369992866,0.0838625879430954,0.222325736898254,0.0630571045632277,-0.0080203609153068,0.1551211025710007
