population,design,design_type,n,mode,y,true_var,RB_VarB,RB_UPB,RB_HybridB_a035,RB_LM_simple_q8,RB_LM_Tille_j3,RB_VarB_pct,RB_UPB_pct,RB_HybridB_a035_pct,RB_LM_simple_q8_pct,RB_LM_Tille_j3_pct
aggregated,aggregated_best_20_ep,best,20,ep,z,11592.044,0.1892,0.1892,0.1892,1.7081,0.112,0.1892,0.1892,0.1892,1.7081,0.112
aggregated,aggregated_best_20_ep,best,20,ep,plane,11592.044,0.1892,0.1892,0.1892,1.7081,0.112,0.1892,0.1892,0.1892,1.7081,0.112
aggregated,aggregated_best_20_ep,best,20,ep,peak,26938.659,0.6452,0.6452,0.6452,5.812,2.4239,0.6452,0.6452,0.6452,5.812,2.4239
aggregated,aggregated_best_20_ep,best,20,ep,bird,45115.212,-0.1007,-0.1007,-0.1007,3.7253,1.3764,-0.1007,-0.1007,-0.1007,3.7253,1.3764
aggregated,aggregated_best_50_ep,best,50,ep,z,3582.873,0.3206,0.3206,0.3206,0.061,-0.6369,0.3206,0.3206,0.3206,0.061,-0.6369
aggregated,aggregated_best_50_ep,best,50,ep,plane,3582.873,0.3206,0.3206,0.3206,0.061,-0.6369,0.3206,0.3206,0.3206,0.061,-0.6369
aggregated,aggregated_best_50_ep,best,50,ep,peak,5026.759,0.4864,0.4864,0.4864,8.1315,1.8998,0.4864,0.4864,0.4864,8.1315,1.8998
aggregated,aggregated_best_50_ep,best,50,ep,bird,7713.421,0.3129,0.3129,0.3129,8.0071,1.8884,0.3129,0.3129,0.3129,8.0071,1.8884
aggregated,aggregated_initial_20_ep,initial,20,ep,z,26278.907,-0.2349,-0.2349,-0.2349,0.2189,-0.624,-0.2349,-0.2349,-0.2349,0.2189,-0.624
aggregated,aggregated_initial_20_ep,initial,20,ep,plane,26278.907,-0.2349,-0.2349,-0.2349,0.2189,-0.624,-0.2349,-0.2349,-0.2349,0.2189,-0.624
aggregated,aggregated_initial_20_ep,initial,20,ep,peak,57586.789,-0.3813,-0.3813,-0.3813,2.0992,0.181,-0.3813,-0.3813,-0.3813,2.0992,0.181
aggregated,aggregated_initial_20_ep,initial,20,ep,bird,95779.191,-0.527,-0.527,-0.527,1.1744,-0.0939,-0.527,-0.527,-0.527,1.1744,-0.0939
aggregated,aggregated_initial_50_ep,initial,50,ep,z,9172.225,-0.2799,-0.2799,-0.2799,-0.5893,-0.9056,-0.2799,-0.2799,-0.2799,-0.5893,-0.9056
aggregated,aggregated_initial_50_ep,initial,50,ep,plane,9172.225,-0.2799,-0.2799,-0.2799,-0.5893,-0.9056,-0.2799,-0.2799,-0.2799,-0.5893,-0.9056
aggregated,aggregated_initial_50_ep,initial,50,ep,peak,3582.466,0.46,0.46,0.46,10.9709,1.5358,0.46,0.46,0.46,10.9709,1.5358
