design,population,design_type,n,mode,y,true_total,mean_nht,true_var_nht,E_vLM,E_VarB_UP_z,ratio_vLM,ratio_VarB_UP_z,relbias_vLM,relbias_VarB_UP_z,lm_q,lm_weight_method,lm_include_self
aggregated_best_20_ep,aggregated,best,20,ep,z,2890.7252931792573,2890.7252931792573,11592.043952496666,17610.905731182153,13784.77384965125,1.5192235125531213,1.189158176602869,0.5192235125531213,0.18915817660286893,4,equal,False
aggregated_best_20_ep,aggregated,best,20,ep,plane,2890.7252931792573,2890.7252931792573,11592.043952496666,17610.905731182153,13784.77384965125,1.5192235125531213,1.189158176602869,0.5192235125531213,0.18915817660286893,4,equal,False
aggregated_best_20_ep,aggregated,best,20,ep,peak,7263.699970585046,7263.699970585045,26938.659350133385,172912.12076211532,44320.0739374742,6.418735190742117,1.645221960062194,5.418735190742117,0.645221960062194,4,equal,False
aggregated_best_20_ep,aggregated,best,20,ep,bird,6671.0377551274105,6671.0377551274105,45115.21221798892,235012.3496829056,40573.21471684132,5.209159796198375,0.8993244788653226,4.209159796198375,-0.10067552113467737,4,equal,False
aggregated_best_50_ep,aggregated,best,50,ep,z,2890.7252931792573,2890.7252931792573,538.0383998388587,2015.2613480896225,1926.2144873965367,3.7455715961782445,3.5800687980141075,2.7455715961782445,2.5800687980141075,4,equal,False
aggregated_best_50_ep,aggregated,best,50,ep,plane,2890.7252931792573,2890.7252931792573,538.0383998388587,2015.2613480896225,1926.2144873965367,3.7455715961782445,3.5800687980141075,2.7455715961782445,2.5800687980141075,4,equal,False
aggregated_best_50_ep,aggregated,best,50,ep,peak,7263.699970585046,7263.699970585045,4907.896100426886,31297.959900367,7317.169751188854,6.377062443853431,1.4908974439276355,5.377062443853431,0.49089744392763546,4,equal,False
aggregated_best_50_ep,aggregated,best,50,ep,bird,6671.0377551274105,6671.0377551274105,9162.792160333871,51862.41839221971,10367.872942261918,5.660110748417321,1.1315189475916407,4.660110748417321,0.13151894759164073,4,equal,False
aggregated_initial_20_ep,aggregated,initial,20,ep,z,2890.7252931792573,2890.7252931792573,26278.907308649246,19299.282804354996,20106.221076417827,0.7344020273629479,0.7651087178118785,-0.2655979726370521,-0.2348912821881215,4,equal,False
aggregated_initial_20_ep,aggregated,initial,20,ep,plane,2890.7252931792573,2890.7252931792573,26278.907308649246,19299.282804354996,20106.221076417827,0.7344020273629479,0.7651087178118785,-0.2655979726370521,-0.2348912821881215,4,equal,False
aggregated_initial_20_ep,aggregated,initial,20,ep,peak,7263.699970585046,7263.699970585045,57586.78913759953,164595.77861198492,35629.11971712825,2.858221148928707,0.6187030089834493,1.858221148928707,-0.3812969910165507,4,equal,False
aggregated_initial_20_ep,aggregated,initial,20,ep,bird,6671.0377551274105,6671.037755127411,95779.19072786186,237761.47012016395,45306.899501890744,2.4823917211382316,0.47303489575957663,1.4823917211382316,-0.5269651042404233,4,equal,False
aggregated_initial_50_ep,aggregated,initial,50,ep,z,2890.7252931792573,2890.7252931792573,9172.22452826299,1827.9499161971921,6605.309398023358,0.19929188503449818,0.7201425758462383,-0.8007081149655018,-0.2798574241537617,4,equal,False
aggregated_initial_50_ep,aggregated,initial,50,ep,plane,2890.7252931792573,2890.7252931792573,9172.22452826299,1827.9499161971921,6605.309398023358,0.19929188503449818,0.7201425758462383,-0.8007081149655018,-0.2798574241537617,4,equal,False
aggregated_initial_50_ep,aggregated,initial,50,ep,peak,7263.699970585046,7263.699970585046,3582.466139528048,29147.836250408265,5230.248881769937,8.136248917693381,1.4599576599093735,7.136248917693381,0.45995765990937354,4,equal,False
aggregated_initial_50_ep,aggregated,initial,50,ep,bird,6671.0377551274105,6671.0377551274105,5680.317756012348,52315.44550319042,11606.107513755001,9.20995052571082,2.0432144841669264,8.20995052571082,1.0432144841669264,4,equal,False
meuse_best_10_ep,meuse,best,10,ep,z,503.09999999999997,503.09999999999997,23756.039999999997,36738.6521875,7363.2487096774175,1.5464973197342657,0.30995269875271375,0.5464973197342657,-0.6900473012472863,4,equal,False
meuse_best_10_up,meuse,best,10,up,z,503.09999999999997,503.1000002817919,6561.174380841727,7568.463614926944,1697.0941879670127,1.1535227042625855,0.25865707714192687,0.15352270426258552,-0.7413429228580731,4,equal,False
