population,design,n,mode,y,true_var,RB_VarB_pct,RB_UPB_pct,RB_HybridB_a035_pct,RB_LM_simple_q8_pct,RB_LM_Tille_j3_pct
aggregated,aggregated_best_20_ep,20,ep,bird,45115.212,-10.07,-10.07,-10.07,372.53,137.64
aggregated,aggregated_best_20_ep,20,ep,peak,26938.659,64.52,64.52,64.52,581.2,242.39
aggregated,aggregated_best_20_ep,20,ep,plane,11592.044,18.92,18.92,18.92,170.81,11.2
aggregated,aggregated_best_20_ep,20,ep,z,11592.044,18.92,18.92,18.92,170.81,11.2
aggregated,aggregated_initial_20_ep,20,ep,bird,95779.191,-52.7,-52.7,-52.7,117.44,-9.39
aggregated,aggregated_initial_20_ep,20,ep,peak,57586.789,-38.13,-38.13,-38.13,209.92,18.1
aggregated,aggregated_initial_20_ep,20,ep,plane,26278.907,-23.49,-23.49,-23.49,21.89,-62.4
aggregated,aggregated_initial_20_ep,20,ep,z,26278.907,-23.49,-23.49,-23.49,21.89,-62.4
aggregated,aggregated_best_50_ep,50,ep,bird,9162.792,13.15,13.15,13.15,655.48,138.98
aggregated,aggregated_best_50_ep,50,ep,peak,4907.896,49.09,49.09,49.09,837.67,185.01
aggregated,aggregated_best_50_ep,50,ep,plane,538.038,258.01,258.01,258.01,595.54,141.36
aggregated,aggregated_best_50_ep,50,ep,z,538.038,258.01,258.01,258.01,595.54,141.36
aggregated,aggregated_initial_50_ep,50,ep,bird,5680.318,104.32,104.32,104.32,1112.41,171.37
aggregated,aggregated_initial_50_ep,50,ep,peak,3582.466,46.0,46.0,46.0,1097.09,153.58
aggregated,aggregated_initial_50_ep,50,ep,plane,9172.225,-27.99,-27.99,-27.99,-58.93,-90.56
aggregated,aggregated_initial_50_ep,50,ep,z,9172.225,-27.99,-27.99,-27.99,-58.93,-90.56
meuse,meuse_best_5_ep,5,ep,z,60441.983,-76.15,-76.15,-76.15,-21.93,-36.69
meuse,meuse_initial_5_ep,5,ep,z,54319.56,-69.22,-69.22,-69.22,-10.87,-31.67
meuse,meuse_best_5_up,5,up,z,14003.851,851.45,-80.04,45.25,-29.98,-51.65
meuse,meuse_initial_5_up,5,up,z,10462.449,666.86,-69.02,38.83,0.49,-22.65
meuse,meuse_best_10_ep,10,ep,z,23756.04,-69.0,-69.0,-69.0,44.13,-24.35
meuse,meuse_initial_10_ep,10,ep,z,31012.365,-79.32,-79.32,-79.32,8.02,-43.66
meuse,meuse_best_10_up,10,up,z,6561.174,502.59,-74.13,8.07,6.91,-50.14
meuse,meuse_initial_10_up,10,up,z,4780.401,541.55,-58.02,39.24,53.73,-29.19
meuse,meuse_best_20_ep,20,ep,z,11087.379,-62.46,-62.46,-62.46,49.96,-35.78
meuse,meuse_initial_20_ep,20,ep,z,9262.649,-57.1,-57.1,-57.1,82.63,-18.53
meuse,meuse_best_20_up,20,up,z,2187.423,474.9,-67.58,17.46,58.99,-42.79
meuse,meuse_initial_20_up,20,up,z,3358.145,384.15,-79.03,-15.58,4.35,-66.52
regular,regular_best_20_ep,20,ep,bird,36627.96,-5.77,-5.77,-5.77,432.44,189.41
regular,regular_best_20_ep,20,ep,peak,8370.546,351.47,351.47,351.47,2234.69,1438.16
regular,regular_best_20_ep,20,ep,plane,22910.681,55.48,55.48,55.48,70.51,-5.15
regular,regular_best_20_ep,20,ep,z,22910.681,55.48,55.48,55.48,70.51,-5.15
regular,regular_initial_20_ep,20,ep,bird,29737.427,72.69,72.69,72.69,557.25,265.0
regular,regular_initial_20_ep,20,ep,peak,19740.703,65.11,65.11,65.11,861.22,515.48
regular,regular_initial_20_ep,20,ep,plane,50790.32,12.13,12.13,12.13,-23.98,-60.01
regular,regular_initial_20_ep,20,ep,z,50790.32,12.13,12.13,12.13,-23.98,-60.01
regular,regular_best_50_ep,50,ep,bird,3911.182,207.24,207.24,207.24,1372.73,664.29
regular,regular_best_50_ep,50,ep,peak,2040.497,459.48,459.48,459.48,2466.73,1419.3
regular,regular_best_50_ep,50,ep,plane,8263.653,28.21,28.21,28.21,-39.52,-66.22
regular,regular_best_50_ep,50,ep,z,8263.653,28.21,28.21,28.21,-39.52,-66.22
regular,regular_initial_50_ep,50,ep,bird,9188.244,84.55,84.55,84.55,492.49,156.65
regular,regular_initial_50_ep,50,ep,peak,3473.544,214.47,214.47,214.47,1423.48,655.22
regular,regular_initial_50_ep,50,ep,plane,24328.016,-5.55,-5.55,-5.55,-79.5,-91.2
regular,regular_initial_50_ep,50,ep,z,24328.016,-5.55,-5.55,-5.55,-79.5,-91.2
