y_case,pi_case,pi_label,iteration,ABC_z_over_V,ABC_y_over_Vy,stop_reason,threshold_hit,warm_start_warning
y00,pi_equal,equal,1000,1.067,0.169,max_iterations,False,
y00,pi10,0.10,1000,1.012,0.153,max_iterations,False,
y00,pi20,0.20,4,12.707,0.139,threshold_reached,True,0.9957
y00,pi30,0.30,2,9.972,0.257,threshold_reached,True,
y00,pi40,0.40,1000,1.002,0.932,max_iterations,False,
y00,pi50,0.50,49,29.715,0.218,threshold_reached,True,
y00,pi60,0.60,12,3.916,0.375,threshold_reached,True,
y00,pi70,0.70,1000,1.003,0.987,max_iterations,False,
y00,pi80,0.80,11,5.841,0.474,threshold_reached,True,
y00,pi90,0.90,4,5.1,0.252,threshold_reached,True,
y80,pi_equal,equal,1000,1.049,0.34,max_iterations,False,
y80,pi10,0.10,1000,1.011,0.998,max_iterations,False,
y80,pi20,0.20,5,5.302,0.169,threshold_reached,True,0.9898
y80,pi30,0.30,1000,1.002,0.157,max_iterations,False,
y80,pi40,0.40,1000,1.0,0.144,max_iterations,False,
y80,pi50,0.50,1000,1.008,0.218,max_iterations,False,
y80,pi60,0.60,1,23.17,0.102,threshold_reached,True,0.9938
y80,pi70,0.70,2,3.527,0.121,threshold_reached,True,0.9868
y80,pi80,0.80,1000,1.028,0.994,max_iterations,False,
y80,pi90,0.90,1000,1.002,0.378,max_iterations,False,
y90,pi_equal,equal,1000,1.081,1.054,max_iterations,False,
y90,pi10,0.10,29,4.202,0.254,threshold_reached,True,
y90,pi20,0.20,1000,1.006,0.946,max_iterations,False,
y90,pi30,0.30,2,6.793,0.272,threshold_reached,True,
y90,pi40,0.40,1000,1.0,0.184,max_iterations,False,
y90,pi50,0.50,1000,1.048,0.997,max_iterations,False,
y90,pi60,0.60,1,3.637,0.164,threshold_reached,True,
y90,pi70,0.70,8,14.192,0.178,threshold_reached,True,
y90,pi80,0.80,1000,1.005,0.142,max_iterations,False,
y90,pi90,0.90,1000,1.037,0.542,max_iterations,False,
