iteration,z_case,pi_case,target_corr_y_over_pi_z_over_pi,pi_nonincreasing,z_over_pi_increasing,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Start_z_over_Vincent_z,Start_y_over_Vincent_y,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random,valid_ABC,valid_Random
100,zratio_00,pi90,0.0,True,True,-0.5061667360851873,0.9016344548590017,-3.359302959258436e-17,1.0005105387018662,0.10056014595230738,1.0797817675199686,0.1015867196550354,1.0005105387018662,0.10056014595230738,4645,4645,3908,2163
100,zratio_00,pi80,0.0,True,True,-0.47963318069801864,0.7974729853799821,1.8930010416066563e-18,1.0000307767135674,0.04455964244341132,1.035966805807101,0.04480548693824948,1.0000307767135674,0.04455964244341132,4830,4830,4027,2350
100,zratio_00,equal,0.0,True,True,-4.405864650633755e-17,0.0,-2.967894219344018e-17,0.9983660660756505,0.05571160778985072,1.0970769776136817,0.05664895373810623,0.9983660660756505,0.05571160778985072,4923,4923,4014,2108
200,zratio_00,pi90,0.0,True,True,-0.5061667360851873,0.9016344548590017,-3.359302959258436e-17,1.0005105387018662,0.10056014595230738,1.0797817675199686,0.1015867196550354,1.0005105387018662,0.10056014595230738,9355,9355,7852,4382
200,zratio_00,equal,0.0,True,True,-4.405864650633755e-17,0.0,-2.967894219344018e-17,0.9983660660756505,0.05571160778985072,1.0970769776136817,0.05664895373810623,0.9983660660756505,0.05571160778985072,9733,9733,8000,4172
200,zratio_00,pi80,0.0,True,True,-0.47963318069801864,0.7974729853799821,1.8930010416066563e-18,1.0000307767135674,0.04455964244341132,1.086553882512984,0.04492909841948539,1.0000307767135674,0.04455964244341132,9715,9715,8150,4657
300,zratio_00,pi90,0.0,True,True,-0.5061667360851873,0.9016344548590017,-3.359302959258436e-17,1.0005105387018662,0.10056014595230738,1.090369596778454,0.10215985648487787,1.0005105387018662,0.10056014595230738,13990,13990,11784,6622
300,zratio_00,equal,0.0,True,True,-4.405864650633755e-17,0.0,-2.967894219344018e-17,0.9983660660756505,0.05571160778985072,1.1740619377220012,0.05697283494592956,0.9983660660756505,0.05571160778985072,14643,14643,12051,6312
300,zratio_00,pi80,0.0,True,True,-0.47963318069801864,0.7974729853799821,1.8930010416066563e-18,1.0000307767135674,0.04455964244341132,1.1024349431808187,0.04498439699851448,1.0000307767135674,0.04455964244341132,14450,14450,12157,6978
100,zratio_80,pi80,0.8,True,True,-0.31526166781527554,0.7965539118829894,0.7999999999999998,0.9995300897072846,0.10880373475274352,1.1145492646183848,0.11001080072075183,0.9995300897072846,0.10880373475274352,4624,4624,3893,2161
100,zratio_80,pi90,0.8,True,True,-0.42338571182066276,0.9004032064058423,0.8000000000000003,0.999974250436267,0.103577202681312,1.0688993356880752,0.1070732544303117,0.999974250436267,0.103577202681312,4518,4518,3768,2227
100,zratio_80,equal,0.8,True,True,0.8000000000000003,0.0,0.8000000000000003,0.9985190361351397,0.11379803325989106,1.116949626643212,0.11726162641482561,0.9985190361351397,0.11379803325989106,5182,5182,4221,2217
200,zratio_80,pi80,0.8,True,True,-0.31526166781527554,0.7965539118829894,0.7999999999999998,0.9995300897072846,0.10880373475274352,1.115029832458116,0.10977076805767855,0.9995300897072846,0.10880373475274352,9409,9409,7915,4474
200,zratio_80,pi90,0.8,True,True,-0.42338571182066276,0.9004032064058423,0.8000000000000003,0.999974250436267,0.103577202681312,1.1010270125690966,0.10877656876732739,0.999974250436267,0.103577202681312,9353,9353,7895,4623
200,zratio_80,equal,0.8,True,True,0.8000000000000003,0.0,0.8000000000000003,0.9985190361351397,0.11379803325989106,1.1306720710797182,0.11777105601813997,0.9985190361351397,0.11379803325989106,10292,10292,8369,4362
300,zratio_80,pi80,0.8,True,True,-0.31526166781527554,0.7965539118829894,0.7999999999999998,0.9995300897072846,0.10880373475274352,1.115029832458116,0.10977076805767855,0.9995300897072846,0.10880373475274352,14219,14219,12016,6740
300,zratio_80,pi90,0.8,True,True,-0.42338571182066276,0.9004032064058423,0.8000000000000003,0.999974250436267,0.103577202681312,1.1199214141606728,0.10906374869041481,0.999974250436267,0.103577202681312,14163,14163,11943,6946
300,zratio_80,equal,0.8,True,True,0.8000000000000003,0.0,0.8000000000000003,0.9985190361351397,0.11379803325989106,1.198046044331735,0.11969556811648191,0.9985190361351397,0.11379803325989106,15727,15727,12777,6714
100,zratio_90,equal,0.9,True,True,0.9,0.0,0.9000000000000001,0.9983972934779349,0.2328580210424442,1.1053915364737783,0.24451672900727614,0.9983972934779349,0.2328580210424442,4803,4803,3900,2048
100,zratio_90,pi80,0.9,True,True,0.3167045174669938,0.7995333864808934,0.9,0.9996002978063875,0.25228198607188923,1.0411764644653427,0.2595373659509306,0.9996002978063875,0.25228198607188923,4801,4801,4044,2307
100,zratio_90,pi90,0.9,True,True,-0.3522663509014396,0.9016883761787282,0.9000000000000002,0.9996991763200207,0.1987346246363953,1.0365881004940911,0.21165449032504693,0.9996991763200207,0.1987346246363953,4745,4745,4027,2254
200,zratio_90,pi80,0.9,True,True,0.3167045174669938,0.7995333864808934,0.9,0.9996002978063875,0.25228198607188923,1.0551279048836952,0.25962224699257297,0.9996002978063875,0.25228198607188923,9361,9361,7878,4429
200,zratio_90,equal,0.9,True,True,0.9,0.0,0.9000000000000001,0.9983972934779349,0.2328580210424442,1.1053915364737783,0.24451672900727614,0.9983972934779349,0.2328580210424442,9888,9888,8088,4297
200,zratio_90,pi90,0.9,True,True,-0.3522663509014396,0.9016883761787282,0.9000000000000002,0.9996991763200207,0.1987346246363953,1.0365881004940911,0.21165449032504693,0.9996991763200207,0.1987346246363953,9405,9405,7938,4442
300,zratio_90,pi80,0.9,True,True,0.3167045174669938,0.7995333864808934,0.9,0.9996002978063875,0.25228198607188923,1.0668854233531528,0.2611337009289195,0.9996002978063875,0.25228198607188923,14246,14246,11990,6790
300,zratio_90,equal,0.9,True,True,0.9,0.0,0.9000000000000001,0.9983972934779349,0.2328580210424442,1.1053915364737783,0.24451672900727614,0.9983972934779349,0.2328580210424442,15298,15298,12502,6626
