iteration,y_correlation_target,pi_decreasing,z_over_pi_increasing,corr_y_z,corr_y_over_pi_z_over_pi,Start_z_over_Vincent_z,Start_y_over_Vincent_y,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random,valid_ABC,valid_Random
50,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,2164,2164,2159,2154
100,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,4394,4394,4385,4375
150,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,6924,6924,6910,6890
200,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,9479,9479,9459,9427
250,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,11809,11809,11782,11746
300,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,14164,14164,14132,14084
350,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0384575045926265,1.0376138604807088,0.9998300022770583,0.7535306473122683,16669,16669,16631,16571
400,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0852251390428653,1.2218495376897658,0.9998300022770583,0.7535306473122683,19024,19024,18982,18914
450,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0852251390428653,1.2218495376897658,0.9998300022770583,0.7535306473122683,21504,21504,21457,21373
500,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0852251390428653,1.2218495376897658,0.9998300022770583,0.7535306473122683,23959,23959,23906,23813
550,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0908102125764543,1.2192433072623186,0.9998300022770583,0.7535306473122683,26364,26364,26305,26202
600,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0908102125764543,1.2192433072623186,0.9998300022770583,0.7535306473122683,28719,28719,28656,28541
650,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0908102125764543,1.2192433072623186,0.9998300022770583,0.7535306473122683,31274,31274,31204,31077
700,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.0942955009743205,1.29483886669051,0.9998300022770583,0.7535306473122683,33654,33654,33581,33445
750,0.99,True,True,-0.49033683294575287,0.9900000000000004,0.9998300022770583,0.7535306473122683,1.1159457339224355,1.9022263075736185,0.9998300022770583,0.7535306473122683,36059,36059,35979,35832
