z_variable,size_variable,pi_mode,pi_size_strength,objective,iterations,colony_size,corr_y_z,corr_y_size,corr_y_pi,Ppi_z_eff,Ppi_y_eff,ABC_z_eff,ABC_y_eff,Random_z_eff,Random_y_eff,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y,Random_z_over_Ppi_z,Random_y_over_Ppi_y,ABC_valid_percent,Random_valid_percent,evaluations_ABC,evaluations_Random,both_ABC,both_Random,base_seed
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.54861681054441,2.0388587577604014,1.4203279808638398,2.6847521765745226,1.0903232620155838,0.7594341559257,0.9999998880827462,1.0000165510857624,100.0,100.0,1724,912,False,False,202600384
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.8389189988766979,1.057862625143103,1.4203279808638398,2.6847521765745226,1.2947141912613085,0.3940326943948646,0.9999998880827462,1.0000165510857624,100.0,99.89035087719299,1699,912,False,False,202600385
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.1968906505540278,1.0838986481028683,1.5027133964664598,2.6847521765745226,1.4619492778910266,0.4037305928122278,1.0000000520222911,1.0000165510857624,100.0,100.0,1849,912,False,False,202600385
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.3882409165157723,0.9621008768872672,1.5027133964664598,2.6847521765745226,1.5892857855485563,0.35836335625173354,1.0000000520222911,1.0000165510857624,99.8180991359709,100.0,2199,912,False,False,202600384
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.284255061892229,0.8411824703852547,0.9673040121158181,0.7164776914127542,1.4659056049864874,0.31332366547952556,1.1041236395807854,0.2668736266043897,99.88344988344988,100.0,2574,912,False,False,202600385
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.2293500852580892,0.6234855542569683,0.9675866927972572,0.7056344608409736,1.4032346330137937,0.2322359132660681,1.104446303829998,0.2628347398372487,99.93218040013564,100.0,2949,912,False,False,202600384
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.3192532892947524,0.979687953103656,1.5027133964664598,2.6847521765745226,1.5433770773596664,0.364914190796185,1.0000000520222911,1.0000165510857624,99.94591671173607,99.89035087719299,1849,912,False,False,202600386
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.5651075223767728,1.7719483226056654,1.4203279808638398,2.6847521765745226,1.101933756358403,0.6600153510389131,0.9999998880827462,1.0000165510857624,99.95119570522206,99.89035087719299,2049,912,False,False,202600386
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.2149811319708936,1.055668494699105,1.5027133964664598,2.6847521765745226,1.47398782256662,0.39321542463775855,1.0000000520222911,1.0000165510857624,99.77765425236242,100.0,1799,912,False,False,202600387
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.0716744824712285,0.7613806439636863,0.9697198117997182,0.6701548028018449,1.2232567168245263,0.2835990793800136,1.1068811403314043,0.2496192760132242,99.8570918185066,100.0,2799,912,False,False,202600386
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.5955051391324444,1.7343176420725428,1.4203279808638398,2.6847521765745226,1.1233355830936378,0.645998674307969,0.9999998880827462,1.0000165510857624,100.0,100.0,1874,912,False,False,202600387
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.2416999602967183,0.6743810567885634,0.9579060602784611,0.7579804261868596,1.4173313273365982,0.2511934711932065,1.0933964011352728,0.2823325661860617,99.89376770538243,99.78070175438596,2824,912,False,False,202600387
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.21783201382938,0.989234696304194,1.5027133964664598,2.6847521765745226,1.475884978746567,0.36847016191813947,1.0000000520222911,1.0000165510857624,99.94934143870314,100.0,1974,912,False,False,202600388
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.507372481811383,2.036998374901096,1.4203279808638398,2.6847521765745226,1.0612846704559142,0.7587412004764431,0.9999998880827462,1.0000165510857624,99.90118577075098,99.89035087719299,2024,912,False,False,202600388
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.0964541710898918,0.7830641582478309,0.9779269793325304,0.7212271956657323,1.251541350861629,0.2916757552680338,1.1162491648340183,0.2686427220553115,99.92657856093979,99.56140350877193,2724,912,False,False,202600388
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.166042568021895,1.470290472670739,1.5027133964664598,2.6847521765745226,1.4414210226632114,0.5476538283136523,1.0000000520222911,1.0000165510857624,99.94934143870314,100.0,1974,912,False,False,202600389
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.5521631874481274,2.057000629896878,1.4203279808638398,2.6847521765745226,1.0928201335513115,0.766191640866938,0.9999998880827462,1.0000165510857624,100.0,99.89035087719299,1924,912,False,False,202600389
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.129521340695947,0.6884342439056467,0.9687329142851662,0.5533172289882818,1.2892856827353414,0.2564280026465041,1.1057546518003818,0.2060996138925501,99.96458923512748,100.0,2824,912,False,False,202600389
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.395922604412588,0.9708842873317787,1.5027133964664598,2.6847521765745226,1.5943976640441482,0.36163500117156294,1.0000000520222911,1.0000165510857624,99.88399071925754,100.0,1724,912,False,False,202600390
z_00,size_90,auxiliary,0.35,eff_z,50,12,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.8760830557736132,2.684707741746442,1.1271793398406216,0.8233137767995525,0.9465794395892356,0.7352669255025837,1.2866124192360748,0.30666793409102133,1.080467694644969,0.2738722409405657,96.55765920826161,99.67105263157895,2324,912,False,False,202600390
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.5590009959070386,1.8135362589443036,1.4203279808638398,2.6847521765745226,1.0976343791240022,0.6755060265012577,0.9999998880827462,1.0000165510857624,100.0,100.0,1974,912,False,False,202600390
z_90,size_90,auxiliary,0.35,eff_z,50,12,0.9,0.9000000000000001,0.8655222606938383,1.4203281398230647,2.684707741746442,1.8388282663456712,1.080678950663754,1.4203279808638398,2.6847521765745226,1.2946503098746889,0.40253131983772517,0.9999998880827462,1.0000165510857624,99.88564894225271,100.0,1749,912,False,False,202600391
z_80,size_90,auxiliary,0.35,eff_z,50,12,0.7999999999999999,0.9000000000000001,0.8655222606938383,1.50271331829187,2.684707741746442,2.417771474436182,1.2012548706731108,1.5027133964664598,2.6847521765745226,1.608937276994694,0.4474434412334494,1.0000000520222911,1.0000165510857624,100.0,100.0,2349,912,False,False,202600391
