iteration,z_variable,pi_source,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,BestRandomStart_z_over_BestRandomStart_z,BestRandomStart_y_over_BestRandomStart_y,BestRandomStart_z_over_Vincent_z,BestRandomStart_y_over_Vincent_y,ABC_z_over_BestRandomStart_z,ABC_y_over_BestRandomStart_y,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_BestRandomStart_z,Random_y_over_BestRandomStart_y,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random,Var_z_BestRandomStart,Var_y_BestRandomStart,Var_z_Vincent_z,Var_y_Vincent_y,Var_z_ABC,Var_y_ABC,Var_z_Random,Var_y_Random
50,z_00,equal,-1.376981811053447e-17,0.0,6.722437906588872e-18,1.0,1.0,0.1423209327503851,0.16960942700252357,7.026373286590878,0.8695642428173428,1.0000000000000027,0.1474862929661328,1.1401067458072343,0.9519779948659297,0.16226105549829178,0.16146444222822168,1678,1678,326.3895583526345,74668.66390311507,46.452066384733186,12664.509299651363,46.45206638473306,85869.0597271945,286.2798238436346,78435.28348954211
50,z_00,size_80,-1.376981811053447e-17,0.7964686621946876,-0.019581006445603694,1.0,1.0,0.11385207020282773,0.10878628734162457,8.783327331848257,1.3615717602762518,1.0000000000000033,0.14812033674965389,1.0805095988351077,0.9939776495798209,0.1230182547014039,0.10813113819834301,1670,1670,393.75950748929824,213908.74823187475,44.83033508970245,23270.338550039953,44.8303350897023,157104.27791809844,364.42018461826575,215204.78687050892
50,z_00,size_90,-1.376981811053447e-17,0.8714416182858846,0.0422758631115996,1.0,1.0,0.16487566504923296,0.07785465503952657,6.065176444937445,1.1125914854130339,1.0000000000000038,0.0866204262967462,1.1152360566896602,1.0321114797429685,0.18387528653359178,0.08035468321772413,1661,1661,393.4030605089669,166422.2684370627,64.86259123381956,12956.748300063007,64.86259123381932,149580.74964530292,352.7531755713672,161244.46990794793
50,z_80,equal,0.8000000000000002,0.0,0.8000000000000003,1.0,1.0,0.17967172702245643,0.20041499164692184,5.565705949989752,1.7683547768989933,1.0000000001338203,0.35440480784100603,1.0695362006824891,0.9554156176039699,0.19216541628965936,0.1914796130214383,1681,1681,332.87136045821677,63191.42692659876,59.80757220984243,12664.509299651363,59.80757220183896,35734.58660677353,311.229634158999,66140.2490835065
50,z_80,size_80,0.8000000000000002,0.7964686621946876,-0.3338028997675349,1.0,1.0,0.24176842810204882,0.10542763051258153,4.1361893604152025,1.2036124639072634,1.0000000000000022,0.12689401012515283,1.0425232651953182,1.0957900101551674,0.25204921108608747,0.11552654431001694,1670,1670,373.6780412182606,220723.3382454035,90.34355264159149,23270.338550039953,90.34355264159129,183384.05829470532,358.43616511354446,201428.50016870326
50,z_80,size_90,0.8000000000000002,0.8714416182858846,-0.5117759861486383,1.0,1.0,0.25044956404464597,0.08025976999260122,3.9928198869682983,1.2637209164322643,1.0000000000000029,0.10142595008769274,1.0,1.0,0.25044956404464597,0.08025976999260122,1665,1665,414.6417228322264,161435.15364244665,103.84683871805203,12956.748300063007,103.84683871805173,127745.89036494722,414.6417228322264,161435.15364244665
50,z_90,equal,0.9000000000000001,0.0,0.9000000000000001,1.0,1.0,0.1796132532438697,0.24137664783827598,5.56751788601174,2.198239464384458,1.0000000000000009,0.5306036730589277,1.0,1.0,0.1796132532438697,0.24137664783827598,1690,1690,330.40054561543735,52467.831553186006,59.34431687153827,12664.509299651363,59.344316871538226,23868.11464504293,330.40054561543735,52467.831553186006
50,z_90,size_80,0.9000000000000001,0.7964686621946876,-0.29463027700024136,1.0,1.0,0.36078607583186517,0.10826630997777406,2.7717255930520563,1.1344943223982162,1.0000000000000007,0.12282751397679002,1.0,1.0,0.36078607583186517,0.10826630997777406,1662,1662,431.79575539072573,214936.10112709217,155.78589614827587,23270.338550039953,155.78589614827578,189455.42245882473,431.79575539072573,214936.10112709217
50,z_90,size_90,0.9000000000000001,0.8714416182858846,-0.5420575768862299,1.0,1.0,0.39225916839352604,0.08489706069157466,2.549334931023899,1.3939395453376289,1.0000000000000018,0.11834137018091466,1.0289095317957666,1.1170984620266533,0.40359919729437965,0.09483837592914149,1672,1672,437.12051619460385,152617.16005850906,171.46453017024413,12956.748300063007,171.46453017024385,109486.21162874273,424.83863030376716,136619.2553713029
100,z_00,equal,-1.376981811053447e-17,0.0,6.722437906588872e-18,1.0,1.0,0.1423209327503851,0.16960942700252357,7.026373286590878,0.8695642428173428,1.0000000000000027,0.1474862929661328,1.1401067458072343,0.9519779948659297,0.16226105549829178,0.16146444222822168,3362,3362,326.3895583526345,74668.66390311507,46.452066384733186,12664.509299651363,46.45206638473306,85869.0597271945,286.2798238436346,78435.28348954211
