pi_case,target,label,abc,random,best_start
pi_m90,-0.9,-0.90,249.73967603379523,0.3637146494699341,0.2371401718553307
pi_m80,-0.8,-0.80,2605.3520835835097,0.31770394763670645,0.22532885277135287
pi_m60,-0.6,-0.60,1.0000226722875514,0.5116709170311421,0.3949195543687448
pi_m40,-0.4,-0.40,105.23595968859804,0.31986018866082866,0.2678120448102628
pi_m20,-0.2,-0.20,427.79047226230995,0.34694463757677124,0.22689644778323814
pi_equal,0.0,equal,1.036460418708487,0.49210830649818843,0.3376210268004843
pi_p20,0.2,0.20,0.999969482905991,0.4808378971918832,0.36907659159175427
pi_p40,0.4,0.40,3063.967133762039,0.3272061868315181,0.22464995780160288
pi_p60,0.6,0.60,769.1676063011341,0.3690329338940162,0.2516469896010926
pi_p80,0.8,0.80,12.469974739200675,0.301923244707775,0.24049874188113513
pi_p90,0.9,0.90,1.0506999765878555,0.27647182894008404,0.17567347665497185
