pi_case,target,label,unit,y,pi
pi_m90,-0.9,-0.90,1,1.978147940504131,0.21684576082221552
pi_m90,-0.9,-0.90,2,1.970456292473436,0.21383708127152654
pi_m90,-0.9,-0.90,3,1.9801477916526515,0.21275585182248136
pi_m90,-0.9,-0.90,4,1.9990839745842797,0.2126794031602528
pi_m90,-0.9,-0.90,5,1.9601147331684223,0.20650393343570908
pi_m90,-0.9,-0.90,6,1.9765596801858327,0.20622929072412374
pi_m90,-0.9,-0.90,7,1.9908662812312503,0.20573891229455105
pi_m90,-0.9,-0.90,8,1.9941512853674057,0.20412959212369117
pi_m90,-0.9,-0.90,9,1.9895693441565911,0.2017526749937868
pi_m90,-0.9,-0.90,10,1.9793830390226232,0.1988568413153279
pi_m90,-0.9,-0.90,11,1.9929509488485324,0.1983787657453096
pi_m90,-0.9,-0.90,12,2.0040062205759903,0.19766157297035994
pi_m90,-0.9,-0.90,13,2.019442634494,0.19738555636345426
pi_m90,-0.9,-0.90,14,2.0228764978533857,0.1959518178246314
pi_m90,-0.9,-0.90,15,2.0184603934930916,0.1937898467148397
pi_m90,-0.9,-0.90,16,2.025129386872654,0.1927207992976481
pi_m90,-0.9,-0.90,17,2.041123940272337,0.19255011493848914
pi_m90,-0.9,-0.90,18,1.9920742154316349,0.18629941814249978
pi_m90,-0.9,-0.90,19,1.9886243749015293,0.1843837906774166
pi_m90,-0.9,-0.90,20,1.9748220137663022,0.18154897536168546
pi_m80,-0.8,-0.80,1,1.9565282331471838,0.21471048953173258
pi_m80,-0.8,-0.80,2,1.9634551541524106,0.21328380928309318
pi_m80,-0.8,-0.80,3,1.9621032763055701,0.21099553343404798
pi_m80,-0.8,-0.80,4,1.958060275252059,0.208466269310352
pi_m80,-0.8,-0.80,5,1.9762783734965794,0.20833352843849395
pi_m80,-0.8,-0.80,6,1.9829377125467778,0.20699677021926902
pi_m80,-0.8,-0.80,7,1.974877693474974,0.20416413868843475
pi_m80,-0.8,-0.80,8,1.9781112625670683,0.2025420735466229
pi_m80,-0.8,-0.80,9,1.9873319144176762,0.20155796786015306
pi_m80,-0.8,-0.80,10,1.9994208917227214,0.20088051655057498
pi_m80,-0.8,-0.80,11,2.018027398207547,0.20086438778908886
pi_m80,-0.8,-0.80,12,2.027731709816166,0.19997064049553262
pi_m80,-0.8,-0.80,13,2.042539773933029,0.1995919389046301
pi_m80,-0.8,-0.80,14,2.058890427037363,0.1993694639700773
pi_m80,-0.8,-0.80,15,2.0389782493916644,0.19567100779401045
pi_m80,-0.8,-0.80,16,2.055019254850404,0.19545787886566623
pi_m80,-0.8,-0.80,17,2.0182829377409917,0.19027294029972505
pi_m80,-0.8,-0.80,18,1.974760405566167,0.18454436219136724
pi_m80,-0.8,-0.80,19,1.9902836678709475,0.18438511178013245
pi_m80,-0.8,-0.80,20,1.937351988631208,0.1779411710469946
pi_m60,-0.6,-0.60,1,1.5602035492668558,0.42715474802987163
pi_m60,-0.6,-0.60,2,1.3536454200019297,0.3333238357971429
pi_m60,-0.6,-0.60,3,1.4744196352273298,0.3265427416367482
pi_m60,-0.6,-0.60,4,1.607420931664474,0.320188717347344
pi_m60,-0.6,-0.60,5,1.7094375395351689,0.30625777154036304
pi_m60,-0.6,-0.60,6,1.8628050698015137,0.30016411362507556
pi_m60,-0.6,-0.60,7,2.0385678429092815,0.29544320279028125
pi_m60,-0.6,-0.60,8,1.993311434542953,0.25982531812755105
pi_m60,-0.6,-0.60,9,1.7610642633285376,0.20646145800799393
pi_m60,-0.6,-0.60,10,1.7563909506349604,0.18520062704687448
pi_m60,-0.6,-0.60,11,1.6661616070004095,0.15801410694415413
pi_m60,-0.6,-0.60,12,1.7090751202397974,0.14577980542410462
pi_m60,-0.6,-0.60,13,1.835002471393462,0.14077655845869289
pi_m60,-0.6,-0.60,14,1.8772663425832172,0.1295319967568384
pi_m60,-0.6,-0.60,15,1.717716379159764,0.1066007105558471
pi_m60,-0.6,-0.60,16,1.6963709236359954,0.09468625476030199
pi_m60,-0.6,-0.60,17,1.6235568054509444,0.081506282121649
pi_m60,-0.6,-0.60,18,1.4042176107576834,0.0634038290686091
pi_m60,-0.6,-0.60,19,1.549962739505214,0.06294479236647682
pi_m60,-0.6,-0.60,20,1.538463498820288,0.05619312959408005
pi_m40,-0.4,-0.40,1,1.990824987079674,0.21704917467138385
pi_m40,-0.4,-0.40,2,2.003955809331096,0.2164247831535955
pi_m40,-0.4,-0.40,3,2.0139416042021487,0.21547554092719773
pi_m40,-0.4,-0.40,4,1.977102875874474,0.2095802603757782
pi_m40,-0.4,-0.40,5,1.9864308071633814,0.20864193604300224
pi_m40,-0.4,-0.40,6,1.9845617749448847,0.20655523943829673
pi_m40,-0.4,-0.40,7,1.9929432768020265,0.20556334860090134
pi_m40,-0.4,-0.40,8,1.9832774738377044,0.20274420897674125
pi_m40,-0.4,-0.40,9,1.9985327496748155,0.2024999595713139
pi_m40,-0.4,-0.40,10,1.9786989609778067,0.19873572471977283
pi_m40,-0.4,-0.40,11,1.989815168981788,0.19811837786096465
pi_m40,-0.4,-0.40,12,1.982369979707668,0.1956794576680786
pi_m40,-0.4,-0.40,13,1.9916365421094744,0.19491768113546265
pi_m40,-0.4,-0.40,14,1.9964740710432811,0.19373899105475614
pi_m40,-0.4,-0.40,15,2.0129973311030396,0.19370454868010584
pi_m40,-0.4,-0.40,16,2.0059324330324277,0.19141973635272902
pi_m40,-0.4,-0.40,17,2.0044925086722687,0.18970495351770886
pi_m40,-0.4,-0.40,18,2.009304742000513,0.1886050847280955
pi_m40,-0.4,-0.40,19,1.9978635430742815,0.18600979603963222
pi_m40,-0.4,-0.40,20,2.0013096539719624,0.18483119648448315
pi_m20,-0.2,-0.20,1,1.988183681332908,0.21629093420100065
pi_m20,-0.2,-0.20,2,1.9637317982625322,0.21167272787945038
pi_m20,-0.2,-0.20,3,1.9708953722636293,0.21051532407626256
pi_m20,-0.2,-0.20,4,1.9728825527020655,0.20883083128980015
pi_m20,-0.2,-0.20,5,1.97666462204872,0.20736468730922364
pi_m20,-0.2,-0.20,6,1.9855948854106484,0.20645977300028948
pi_m20,-0.2,-0.20,7,1.9927358013359757,0.2053862969791524
pi_m20,-0.2,-0.20,8,2.0071772557742587,0.20507738485460567
pi_m20,-0.2,-0.20,9,1.9885003860733401,0.20141917308453372
pi_m20,-0.2,-0.20,10,1.9970610980345571,0.2005588300237308
pi_m20,-0.2,-0.20,11,1.9956843223277585,0.19872351525911014
pi_m20,-0.2,-0.20,12,2.011448368446265,0.1986115145114734
