iteration,z_variable,pi_source,ABC_z_over_random_start,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_random_start,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random
50,z_00,equal,10.172971566795463,1.0000000000000018,0.14748629296613286,1.5361524796426755,0.1510033198811519,0.15133133933206475,1641,1641
50,z_00,size_80,10.661008966035197,1.0000000000000004,0.1481203367496533,1.3469301027841665,0.12634170997091723,0.12115141463838308,1641,1641
50,z_00,size_90,7.585045558728908,1.000000000000004,0.08662042629674623,1.3213217453616348,0.17420089769151836,0.07205776981232775,1646,1646
50,z_80,equal,7.631759551280254,1.0000000000000016,0.35440480712723604,1.5050614781241294,0.19721028525743486,0.1908006357871831,1651,1651
50,z_80,size_80,5.829374337492543,1.0000000000000018,0.12689401012515292,1.39222747031295,0.238829656445053,0.12577723716451003,1655,1655
50,z_80,size_90,5.351930519875167,1.0000000000000013,0.10142595008769263,1.3221810054833845,0.24704749072755636,0.08172860423953437,1637,1637
50,z_90,equal,7.745373693571036,1.0000000000000004,0.5306036730589287,1.377385419732636,0.1778333072393809,0.21531768443898566,1649,1649
50,z_90,size_80,3.5986719734635844,1.0000000000000007,0.12282751397679002,1.2525585984945153,0.3480613425538133,0.11020164129477829,1633,1633
50,z_90,size_90,3.11984791360039,1.0000000000000018,0.11834137018091413,1.2309028859945006,0.3945393878427898,0.0939720741664726,1656,1656
100,z_00,equal,10.172971570091581,1.0000000003240093,0.14748629318592751,1.5362659955629108,0.15101447846146346,0.1584310466482724,3297,3297
100,z_00,size_80,10.66100896603522,1.0000000000000024,0.14812033674965377,1.3469301027841665,0.12634170997091723,0.12115141463838308,3285,3285
100,z_00,size_90,7.585045558728917,1.0000000000000053,0.08662042629674614,1.3618943590905668,0.17954992472303577,0.09258727979585737,3305,3305
100,z_80,equal,7.631759551280254,1.0000000000000016,0.35440480712723604,1.5050614781241294,0.19721028525743486,0.1908006357871831,3313,3313
100,z_80,size_80,5.829883668968878,1.000087373266299,0.1265093348969082,1.39222747031295,0.238829656445053,0.12577723716451003,3293,3293
100,z_80,size_90,5.351930519875172,1.000000000000002,0.1014259500876926,1.3286131033704613,0.2482493183415716,0.07762716431094743,3283,3283
100,z_90,equal,7.74537369357104,1.0000000000000009,0.5306036730589279,1.5038667308381124,0.19416322444020764,0.20575768258141205,3301,3301
100,z_90,size_80,3.598671973463586,1.000000000000001,0.12282751397679023,1.292465518202149,0.3591506888465305,0.12964962646450273,3281,3281
100,z_90,size_90,3.1198479136003914,1.0000000000000022,0.11834137018091483,1.3859436158847733,0.44423435188715943,0.08849009484899137,3307,3307
150,z_00,equal,10.172971570091585,1.0000000003240095,0.14748629318592746,1.5519182760765953,0.15255309285853633,0.15694470511882228,4925,4925
150,z_00,size_80,10.66100899385126,1.0000000026091402,0.14812033866609892,1.3469301027841665,0.12634170997091723,0.12115141463838308,4918,4918
150,z_00,size_90,7.5850455587289245,1.0000000000000062,0.08662042629674646,1.4279313481382074,0.18825613334582317,0.07469542275811238,4961,4961
150,z_80,equal,7.631759572361328,1.000000002762284,0.35440480788760875,1.5050614781241294,0.19721028525743486,0.1908006357871831,4966,4966
150,z_80,size_80,5.829883668968878,1.000087373266299,0.1265093348969082,1.4617605706583572,0.25075771189659507,0.12419457688260724,4947,4947
150,z_80,size_90,5.3519305198751725,1.0000000000000022,0.1014259500876926,1.5229534025421134,0.28456150484136666,0.08651351845270655,4926,4926
150,z_90,equal,7.745373693571041,1.000000000000001,0.5306036730589285,1.5038667308381124,0.19416322444020764,0.20575768258141205,4944,4944
150,z_90,size_80,3.598671973463586,1.000000000000001,0.12282751397679023,1.292465518202149,0.3591506888465305,0.12964962646450273,4917,4917
150,z_90,size_90,3.1198479136003914,1.0000000000000022,0.11834137018091483,1.3859436158847733,0.44423435188715943,0.08849009484899137,4955,4955
200,z_00,equal,10.172971570091587,1.0000000003240097,0.14748629318592754,1.5739789004323939,0.15472164549932071,0.16396633880962366,6577,6577
200,z_00,size_80,10.661008993851295,1.0000000026091436,0.14812033866609964,1.3469301027841665,0.12634170997091723,0.12115141463838308,6544,6544
200,z_00,size_90,7.5850455587289245,1.0000000000000062,0.08662042629674646,1.4279313481382074,0.18825613334582317,0.07469542275811238,6616,6616
200,z_80,equal,7.63175957236133,1.0000000027622842,0.35440480788760864,1.5050614781241294,0.19721028525743486,0.1908006357871831,6628,6628
200,z_80,size_80,5.829883668968881,1.0000873732662994,0.12650933489690847,1.481623237674077,0.254165053039189,0.12288372989539974,6588,6588
200,z_80,size_90,5.351930519875177,1.000000000000003,0.10142595008769284,1.5229534025421134,0.28456150484136666,0.08651351845270655,6576,6576
200,z_90,equal,7.745373694149893,1.0000000000747362,0.5306036739306299,1.5242466295516393,0.19679445948706442,0.221037788001089,6603,6603
200,z_90,size_80,3.598671973463586,1.000000000000001,0.12282751397679023,1.4159874676715216,0.3934750035882511,0.12018478105978012,6565,6565
200,z_90,size_90,3.1198479136003914,1.0000000000000022,0.11834137018091483,1.3859436158847733,0.44423435188715943,0.08849009484899137,6603,6603
250,z_00,equal,10.172971570091587,1.0000000003240097,0.14748629318592754,1.5739789004323939,0.15472164549932071,0.16396633880962366,8221,8221
250,z_00,size_80,10.661008993851299,1.0000000026091438,0.14812033866609947,1.3469301027841665,0.12634170997091723,0.12115141463838308,8190,8190
250,z_00,size_90,7.5850455587289245,1.0000000000000062,0.08662042629674646,1.4279313481382074,0.18825613334582317,0.07469542275811238,8276,8276
250,z_80,equal,7.6317595723613305,1.0000000027622842,0.35440480788760875,1.5050614781241294,0.19721028525743486,0.1908006357871831,8260,8260
250,z_80,size_80,5.829883668968883,1.0000873732662996,0.1265093348969085,1.481623237674077,0.254165053039189,0.12288372989539974,8237,8237
250,z_80,size_90,5.351930519875178,1.0000000000000033,0.10142595008769262,1.5229534025421134,0.28456150484136666,0.08651351845270655,8229,8229
250,z_90,equal,7.7453737632221005,1.0000000089926027,0.5306036734757986,1.5242466295516393,0.19679445948706442,0.221037788001089,8262,8262
250,z_90,size_80,3.598671973463588,1.0000000000000016,0.1228275139767904,1.4159874676715216,0.3934750035882511,0.12018478105978012,8195,8195
250,z_90,size_90,3.1198479136003914,1.0000000000000022,0.11834137018091483,1.3859436158847733,0.44423435188715943,0.08849009484899137,8248,8248
