iteration,z_variable,pi_source,ABC_z_over_random_start,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_random_start,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random
1,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,12,12
1,z_00,size_80,1.0000003625194518,0.09379978627776633,0.11000522874208245,1.000009521942638,0.09380064542939216,0.1100055165220674,12,12
1,z_00,size_90,1.000007163013646,0.13183930871223798,0.07560182237565963,1.0000053155717317,0.13183906514851773,0.07560176196721545,12,12
1,z_80,equal,1.0,0.13103138185639618,0.1564448703090642,1.0,0.13103138185639618,0.1564448703090642,12,12
1,z_80,size_80,1.0000005845044537,0.17154509671351753,0.10743753644668737,1.0000050569676946,0.1715458639422083,0.10743745830901362,12,12
1,z_80,size_90,1.0000001392150875,0.18684849055895694,0.07777765741371902,1.000000705178234,0.1868485963083019,0.07777789118502616,12,12
1,z_90,equal,1.0,0.12910932894432706,0.16189741648793207,1.0,0.12910932894432706,0.16189741648793207,12,12
1,z_90,size_80,1.0000000797561381,0.2778803089389881,0.12334304399027733,1.0000045945971137,0.2778815635242931,0.12333474140637857,12,12
1,z_90,size_90,1.0000004673266332,0.32052859466877254,0.09015830388826736,1.0000149992041318,0.3205332525488683,0.09015969896922854,12,12
2,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,19,19
2,z_00,size_80,1.0000003625194518,0.09379978627776633,0.11000522874208245,1.000009521942638,0.09380064542939216,0.1100055165220674,19,19
2,z_00,size_90,1.000007163013646,0.13183930871223798,0.07560182237565963,1.0000126262632523,0.13184002897813013,0.07560395070664437,19,19
2,z_80,equal,1.0,0.13103138185639618,0.1564448703090642,1.0,0.13103138185639618,0.1564448703090642,19,19
2,z_80,size_80,1.0000005845044537,0.17154509671351753,0.10743753644668737,1.0000050569676946,0.1715458639422083,0.10743745830901362,19,19
2,z_80,size_90,1.0000003768553016,0.1868485349616661,0.07777762079247394,1.000000705178234,0.1868485963083019,0.07777789118502616,19,19
2,z_90,equal,1.0,0.12910932894432706,0.16189741648793207,1.0,0.12910932894432706,0.16189741648793207,19,19
2,z_90,size_80,1.0000013111203183,0.2778806511108196,0.12334398775397744,1.0000045945971137,0.2778815635242931,0.12333474140637857,19,19
