pi_case,iteration,ABC_z_over_V,Random_z_over_V,evaluations_ABC,evaluations_Random
equal,1,3.350248175157679,1.0000000008095904,13,6
equal,50,13.175994691098813,5.002432288239927,385,300
equal,100,102.27617345476256,5.002432288239927,766,600
m90,1,1.0000043023126923,1.0000043023126923,13,6
m90,50,1.0000043023126923,1.0000043023126923,390,300
m90,100,1.0000043023126923,1.0000043023126923,772,600
m80,1,1.0000044264583128,1.0000044264583128,12,6
m80,50,1.0000044264583128,1.0000044264583128,378,300
m80,100,1.0000044264583128,1.0000044264583128,763,600
m60,1,1.000004484118135,1.000004484118135,13,6
m60,50,1.000004484118135,1.000004484118135,385,300
m60,100,1.000004484118135,1.000004484118135,771,600
m40,1,1.0000050338120456,1.0000050338120456,14,6
m40,50,1.0000050338120456,1.0000050338120456,392,300
m40,100,1.0000050338120456,1.0000050338120456,776,600
m20,1,1.0000044414987352,1.0000044414987352,15,6
m20,50,1.0000044414987352,1.0000044414987352,380,300
m20,100,1.0000044414987352,1.0000044414987352,762,600
p20,1,1.000005263059657,1.000005263059657,14,6
p20,50,1.000005263059657,1.000005263059657,392,300
p20,100,1.000005263059657,1.000005263059657,793,600
p40,1,1.0000058683993729,1.0000058683993729,14,6
p40,50,1.0000058683993729,1.0000058683993729,382,300
p40,100,1.0000058683993729,1.0000058683993729,753,600
p60,1,1.0000058265116427,1.0000058265116427,13,6
p60,50,1.0000058265116427,1.0000058265116427,367,300
p60,100,1.0000058265116427,1.0000058265116427,761,600
p80,1,1.000007057143476,1.000007057143476,13,6
p80,50,1.000007057143476,1.000007057143476,389,300
p80,100,1.000007057143476,1.000007057143476,771,600
p90,1,1.000007436563411,1.000007436563411,13,6
p90,50,1.006261309581402,1.000007436563411,383,300
p90,100,1.006261309581402,1.000007436563411,767,600
