case,epsilon,perturbation_type,valid,reason,base_var_y,base_var_z,base_eff_y,base_eff_z,var_y,var_z,eff_y,eff_z,delta_var_y_percent,delta_var_z_percent,delta_eff_z_percent,eig_min,eig_max,trace,max_diag_diff
ME84_N30_n5,0.01,"omega+, rho+",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4879.61636748695,16511573.319809377,3.825201785482213,3.4426839912180633,0.13967267460273103,-0.2546653874724969,0.2553155879037039,-3.397037937474657e-07,1.0002569536762178,5.0003317,4.402777777778866e-05
ME84_N30_n5,0.01,"omega+, rho-",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4879.61747311964,16511572.761893133,3.8252009187609666,3.4426841075443124,0.1396953644388299,-0.2546687578080409,0.2553189754713303,-2.293956191482295e-07,1.000256941945704,5.0003316999999985,4.402777777778866e-05
ME84_N30_n5,0.01,"omega-, rho+",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.813337085003,16553736.738034748,3.8305422248218792,3.4339152565669924,6.0625961850746535e-05,4.106465294473338e-05,-4.106463605824118e-05,-3.3652207688325865e-07,1.0000009101443332,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.01,"omega-, rho-",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,0.0,0.0,0.0,-2.7083374030683886e-07,1.000000927930166,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.01,"omega+, rho=0",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4879.61747311964,16511572.761893133,3.8252009187609666,3.4426841075443124,0.1396953644388299,-0.2546687578080409,0.2553189754713303,-2.293956191482295e-07,1.000256941945704,5.0003316999999985,4.402777777778866e-05
ME84_N30_n5,0.01,"omega-, rho=0",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,0.0,0.0,0.0,-2.7083374030683886e-07,1.000000927930166,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.01,"omega=0, rho+",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.813337085003,16553736.738034748,3.8305422248218792,3.4339152565669924,6.0625961850746535e-05,4.106465294473338e-05,-4.106463605824118e-05,-3.3652207688325865e-07,1.0000009101443332,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.01,"omega=0, rho-",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,0.0,0.0,0.0,-2.7083374030683886e-07,1.000000927930166,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.02,"omega+, rho+",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4891.0540424823,16491043.786610056,3.8162565940298254,3.4469697536117008,0.3743970758537163,-0.378682954953391,0.3801224137421899,-3.568897268663469e-07,1.0000138669015612,4.9998956,1.9084099616845096e-05
ME84_N30_n5,0.02,"omega+, rho-",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4891.053165820668,16491043.94323262,3.816257278047279,3.446969720874341,0.37437908497035544,-0.3786820088067189,0.3801214603888381,-2.5373942606552147e-07,1.0000138506664484,4.9998956,1.9084099616845096e-05
ME84_N30_n5,0.02,"omega-, rho+",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.8119631487825,16553734.846885981,3.8305433048801176,3.4339156488678633,3.242999049302142e-05,2.9640346910220217e-05,-2.9640338128356092e-05,-3.584753944180699e-07,1.0000009516339272,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.02,"omega-, rho-",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,0.0,0.0,0.0,-2.7083374030683886e-07,1.000000927930166,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.02,"omega+, rho=0",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4891.053165820668,16491043.94323262,3.816257278047279,3.446969720874341,0.37437908497035544,-0.3786820088067189,0.3801214603888381,-2.5373942606552147e-07,1.0000138506664484,4.9998956,1.9084099616845096e-05
ME84_N30_n5,0.02,"omega-, rho=0",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,0.0,0.0,0.0,-2.7083374030683886e-07,1.000000927930166,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.02,"omega=0, rho+",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.8119631487825,16553734.846885981,3.8305433048801176,3.4339156488678633,3.242999049302142e-05,2.9640346910220217e-05,-2.9640338128356092e-05,-3.584753944180699e-07,1.0000009516339272,5.000000399999999,1.5459770114079063e-07
ME84_N30_n5,0.02,"omega=0, rho-",True,OK,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,4872.810382896839,16553729.940303,3.8305445471249473,3.433916666692374,0.0,0.0,0.0,-2.7083374030683886e-07,1.000000927930166,5.000000399999999,1.5459770114079063e-07
