id,y,z70,z80,z90,x75,x90,equal
1,107.802154,93.187947,110.478533,116.710761,130.979858,122.907026,1.0
2,110.533598,77.745743,127.236432,100.18308,100.974223,100.106119,1.0
3,89.514778,99.77419,100.401508,97.594247,67.260948,78.608363,1.0
4,100.438333,109.419545,88.757808,92.251437,91.210994,94.711583,1.0
5,102.022818,95.828759,94.579228,111.557499,124.238351,88.639669,1.0
6,89.978268,96.807721,99.831162,80.556967,97.283298,104.665893,1.0
7,138.367188,149.558686,126.183419,128.301543,125.282407,139.820143,1.0
8,129.751988,134.440157,131.820528,121.812891,124.953339,130.05776,1.0
9,86.392853,99.035403,70.304694,73.171361,95.034752,100.627504,1.0
10,95.354845,105.057412,115.748995,104.167674,110.254787,88.392486,1.0
11,82.457597,74.348693,104.218254,74.212691,89.653141,70.314186,1.0
12,80.33841,98.356493,70.665219,74.345046,103.318148,84.936826,1.0
13,82.066758,63.123559,82.985221,81.683608,81.286832,86.040666,1.0
14,115.719535,105.143773,104.403969,120.588921,111.737147,103.28869,1.0
15,87.979812,84.177452,86.566442,84.73458,85.323442,93.337468,1.0
16,97.52244,72.87066,106.588376,114.990219,100.014853,110.758186,1.0
17,98.795221,96.341228,93.272463,100.14613,126.129182,92.006819,1.0
18,89.193372,114.05989,82.449865,89.910308,71.953557,90.999803,1.0
19,65.826205,69.961013,81.337482,75.916311,56.716198,72.501574,1.0
20,158.557706,123.040633,154.737027,150.014764,134.89353,153.183426,1.0
21,83.760764,86.042373,83.326673,79.222379,103.476509,94.548883,1.0
22,108.60155,116.687066,108.50774,104.315746,110.590957,111.488829,1.0
23,116.44776,112.984473,97.383868,116.640153,102.041182,126.222064,1.0
24,110.369562,105.979173,116.695252,122.634415,109.231325,99.162484,1.0
25,88.397442,70.911224,113.377959,93.604002,74.628079,83.722619,1.0
26,115.147312,116.364588,116.381226,117.978597,96.616917,119.372796,1.0
27,95.129054,102.080258,95.45571,79.538439,87.723589,89.771527,1.0
28,114.677734,127.757206,90.226771,111.702279,118.171927,105.323005,1.0
29,66.097234,95.671197,71.932212,72.378102,72.422277,68.877605,1.0
30,92.75771,103.243483,74.145964,109.135852,96.598252,95.605999,1.0
