coord,prob,n,zones,zone_mode,sort_method,zonal_sort,exp_density,var_density,min_density,median_density,max_density,exp_IB,var_IB,min_IB,median_IB,max_IB,exp_LB,var_LB,min_LB,median_LB,max_LB
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,-0.16,0.02,-0.39,-0.12,0.38,-0.21,0.02,-0.43,-0.23,0.05,0.81,18.70,0.19,0.56,633.61
random_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,-0.05,0.17,-0.65,-0.26,0.47,-0.24,0.01,-0.49,-0.27,0.01,0.39,0.01,0.19,0.36,0.62
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,-0.12,0.05,-0.47,-0.08,0.49,-0.17,0.01,-0.41,-0.17,0.02,0.72,3.29,0.18,0.47,98.58
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,-0.09,0.08,-0.63,-0.08,0.37,-0.26,0.01,-0.56,-0.30,0.05,0.38,0.01,0.18,0.36,0.62
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,-0.30,0.07,-0.79,-0.29,0.25,-0.22,0.01,-0.40,-0.24,0.02,0.66,0.92,0.19,0.59,20.13
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,0.09,0.05,-0.35,0.14,0.50,-0.32,0.01,-0.50,-0.34,-0.12,0.44,0.02,0.15,0.41,0.79
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-xy,0.18,0.06,-0.28,0.16,0.75,-0.21,0.01,-0.38,-0.17,0.06,1.14,2.38,0.42,1.55,11.80
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,0.00,0.00,0.00,0.00,0.00,-0.45,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,-0.15,0.03,-0.42,-0.11,0.44,-0.20,0.01,-0.37,-0.21,0.05,0.80,18.71,0.15,0.56,633.61
random_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,0.02,0.05,-0.35,0.08,0.44,-0.24,0.01,-0.49,-0.25,-0.05,0.39,0.01,0.18,0.38,0.62
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,-0.14,0.05,-0.50,-0.13,0.45,-0.20,0.01,-0.40,-0.22,-0.03,0.73,3.32,0.23,0.54,98.54
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,-0.07,0.09,-0.61,0.10,0.22,-0.36,0.04,-0.81,-0.33,0.06,0.39,0.00,0.27,0.37,0.53
clust_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,-0.22,0.18,-0.91,0.10,0.29,-0.24,0.01,-0.48,-0.27,0.09,0.67,0.93,0.24,0.60,20.16
swiss_eq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,0.06,0.06,-0.46,0.10,0.48,-0.30,0.01,-0.56,-0.28,-0.06,0.43,0.01,0.27,0.41,0.69
swiss_uneq,default,4,"(2, 2)",sweep,lexico-xy,lexico-yx,0.16,0.13,-0.43,0.12,0.79,-0.18,0.01,-0.31,-0.16,0.08,1.18,2.36,0.43,1.59,14.19
grid_eq,default,4,"(2, 2)",sweep,lexico-xy,random,-0.01,0.16,-0.81,0.13,0.48,-0.24,0.02,-0.51,-0.28,0.07,0.36,0.01,0.10,0.34,0.50
grid_uneq,default,4,"(2, 2)",sweep,lexico-xy,random,-0.16,0.09,-0.73,-0.08,0.42,-0.20,0.02,-0.51,-0.21,0.08,0.78,18.67,0.22,0.49,633.41
random_eq,default,4,"(2, 2)",sweep,lexico-xy,random,0.00,0.18,-0.88,0.13,0.40,-0.26,0.02,-0.49,-0.30,0.11,0.38,0.01,0.17,0.38,0.66
random_uneq,default,4,"(2, 2)",sweep,lexico-xy,random,-0.08,0.10,-0.77,0.13,0.45,-0.20,0.01,-0.45,-0.19,0.02,0.67,3.28,0.19,0.42,98.42
clust_eq,default,4,"(2, 2)",sweep,lexico-xy,random,-0.07,0.14,-0.79,0.14,0.36,-0.23,0.04,-0.69,-0.24,0.07,0.39,0.01,0.21,0.37,0.62
