Popu,pi,N,Method,mean,std,Measure
clust,eq,4,B,-0.03,0.293857,D
clust,eq,4,LP1,-0.11,0.23,D
clust,eq,4,LP2,-0.11,0.25,D
clust,eq,4,MAX,-0.34,0.31,D
clust,eq,4,SRS,-0.33,0.31,D
clust,eq,4,WAV,-0.09,0.24,D
clust,eq,4,B,-0.45,0.217193,I
clust,eq,4,LP1,-0.3,0.14,I
clust,eq,4,LP2,-0.28,0.14,I
clust,eq,4,MAX,-0.09,0.14,I
clust,eq,4,SRS,-0.09,0.15,I
clust,eq,4,WAV,-0.45,0.2,I
clust,eq,4,B,0.34,0.079333,L
clust,eq,4,LP1,0.38,0.07,L
clust,eq,4,LP2,0.38,0.08,L
clust,eq,4,MAX,0.53,0.15,L
clust,eq,4,SRS,0.53,0.15,L
clust,eq,4,WAV,0.36,0.07,L
clust,eq,8,B,-0.0,0.100382,D
clust,eq,8,LP1,-0.04,0.17,D
clust,eq,8,LP2,-0.04,0.17,D
clust,eq,8,MAX,-0.2,0.29,D
clust,eq,8,SRS,-0.2,0.28,D
clust,eq,8,WAV,-0.06,0.14,D
clust,eq,8,B,-0.39,0.128869,I
clust,eq,8,LP1,-0.33,0.1,I
clust,eq,8,LP2,-0.31,0.1,I
clust,eq,8,MAX,-0.06,0.13,I
clust,eq,8,SRS,-0.05,0.13,I
clust,eq,8,WAV,-0.5,0.1,I
clust,eq,8,B,0.2,0.042271,L
clust,eq,8,LP1,0.25,0.05,L
clust,eq,8,LP2,0.25,0.05,L
clust,eq,8,MAX,0.39,0.11,L
clust,eq,8,SRS,0.39,0.11,L
clust,eq,8,WAV,0.25,0.05,L
clust,eq,16,B,0.0,0.08137,D
clust,eq,16,LP1,-0.01,0.12,D
clust,eq,16,LP2,-0.01,0.12,D
clust,eq,16,MAX,-0.09,0.23,D
clust,eq,16,SRS,-0.1,0.23,D
clust,eq,16,WAV,-0.01,0.12,D
clust,eq,16,B,-0.48,0.084204,I
clust,eq,16,LP1,-0.39,0.09,I
clust,eq,16,LP2,-0.37,0.09,I
clust,eq,16,MAX,-0.04,0.13,I
clust,eq,16,SRS,-0.03,0.13,I
clust,eq,16,WAV,-0.61,0.06,I
clust,eq,16,B,0.16,0.033611,L
clust,eq,16,LP1,0.19,0.03,L
clust,eq,16,LP2,0.19,0.03,L
clust,eq,16,MAX,0.29,0.06,L
clust,eq,16,SRS,0.29,0.06,L
clust,eq,16,WAV,0.19,0.03,L
clust,uneq,4,B,-0.2,0.44,D
clust,uneq,4,LP1,-0.32,0.29,D
clust,uneq,4,LP2,-0.32,0.31,D
clust,uneq,4,MAX,-0.46,0.33,D
clust,uneq,4,SRS,-0.34,0.31,D
clust,uneq,4,WAV,-0.27,0.34,D
clust,uneq,4,B,-0.28,0.1,I
clust,uneq,4,LP1,-0.19,0.11,I
clust,uneq,4,LP2,-0.18,0.12,I
clust,uneq,4,MAX,-0.05,0.14,I
clust,uneq,4,SRS,-0.08,0.12,I
clust,uneq,4,WAV,-0.29,0.11,I
clust,uneq,4,B,0.63,0.96,L
clust,uneq,4,LP1,0.65,0.89,L
clust,uneq,4,LP2,0.63,0.76,L
clust,uneq,4,MAX,0.79,1.04,L
clust,uneq,4,SRS,3.02,4.77,L
clust,uneq,4,WAV,0.63,0.79,L
clust,uneq,8,B,-0.01,0.14,D
clust,uneq,8,LP1,-0.09,0.19,D
clust,uneq,8,LP2,-0.08,0.2,D
clust,uneq,8,MAX,-0.28,0.33,D
clust,uneq,8,SRS,-0.24,0.29,D
clust,uneq,8,WAV,-0.07,0.18,D
clust,uneq,8,B,-0.25,0.0,I
clust,uneq,8,LP1,-0.2,0.09,I
clust,uneq,8,LP2,-0.18,0.1,I
clust,uneq,8,MAX,0.02,0.15,I
clust,uneq,8,SRS,-0.05,0.12,I
clust,uneq,8,WAV,-0.3,0.08,I
clust,uneq,8,B,0.4,0.63,L
clust,uneq,8,LP1,0.45,0.53,L
clust,uneq,8,LP2,0.49,0.72,L
clust,uneq,8,MAX,0.6,0.74,L
clust,uneq,8,SRS,2.59,3.05,L
clust,uneq,8,WAV,0.48,0.67,L
clust,uneq,16,B,-0.03,0.14,D
clust,uneq,16,LP1,-0.1,0.15,D
clust,uneq,16,LP2,-0.11,0.14,D
clust,uneq,16,MAX,-0.21,0.27,D
clust,uneq,16,SRS,-0.16,0.25,D
clust,uneq,16,WAV,-0.1,0.15,D
clust,uneq,16,B,-0.26,0.0,I
clust,uneq,16,LP1,-0.2,0.08,I
clust,uneq,16,LP2,-0.18,0.09,I
clust,uneq,16,MAX,0.09,0.14,I
clust,uneq,16,SRS,-0.03,0.12,I
clust,uneq,16,WAV,-0.35,0.06,I
clust,uneq,16,B,0.29,0.4,L
clust,uneq,16,LP1,0.36,0.48,L
clust,uneq,16,LP2,0.34,0.41,L
clust,uneq,16,MAX,0.45,0.41,L
clust,uneq,16,SRS,2.18,1.82,L
clust,uneq,16,WAV,0.34,0.44,L
grid,eq,4,B,0.0,0.0,D
grid,eq,4,LP1,-0.04,0.26,D
grid,eq,4,LP2,-0.04,0.29,D
grid,eq,4,MAX,-0.3,0.33,D
grid,eq,4,SRS,-0.31,0.33,D
grid,eq,4,WAV,0.05,0.22,D
grid,eq,4,B,-0.45,0.137355,I
grid,eq,4,LP1,-0.25,0.11,I
grid,eq,4,LP2,-0.23,0.11,I
grid,eq,4,MAX,-0.08,0.13,I
grid,eq,4,SRS,-0.08,0.13,I
grid,eq,4,WAV,-0.37,0.12,I
grid,eq,4,B,0.31,0.152782,L
grid,eq,4,LP1,0.38,0.1,L
grid,eq,4,LP2,0.37,0.1,L
grid,eq,4,MAX,0.49,0.15,L
grid,eq,4,SRS,0.49,0.15,L
grid,eq,4,WAV,0.35,0.1,L
grid,eq,8,B,0.02,0.16365,D
grid,eq,8,LP1,0.17,0.2,D
grid,eq,8,LP2,0.16,0.22,D
grid,eq,8,MAX,-0.11,0.33,D
grid,eq,8,SRS,-0.08,0.33,D
grid,eq,8,WAV,0.21,0.16,D
grid,eq,8,B,-0.39,0.094298,I
grid,eq,8,LP1,-0.31,0.09,I
grid,eq,8,LP2,-0.29,0.1,I
grid,eq,8,MAX,-0.06,0.13,I
grid,eq,8,SRS,-0.05,0.13,I
grid,eq,8,WAV,-0.47,0.08,I
grid,eq,8,B,0.17,2.979716,L
grid,eq,8,LP1,0.23,0.05,L
grid,eq,8,LP2,0.23,0.05,L
grid,eq,8,MAX,0.34,0.09,L
grid,eq,8,SRS,0.34,0.09,L
grid,eq,8,WAV,0.21,0.05,L
grid,eq,16,B,0.06,0.076553,D
grid,eq,16,LP1,0.16,0.12,D
grid,eq,16,LP2,0.17,0.12,D
grid,eq,16,MAX,0.03,0.25,D
grid,eq,16,SRS,0.01,0.26,D
grid,eq,16,WAV,0.14,0.08,D
grid,eq,16,B,-0.56,0.086772,I
grid,eq,16,LP1,-0.4,0.08,I
grid,eq,16,LP2,-0.37,0.09,I
grid,eq,16,MAX,-0.03,0.14,I
grid,eq,16,SRS,-0.02,0.13,I
grid,eq,16,WAV,-0.6,0.06,I
grid,eq,16,B,0.11,0.019686,L
grid,eq,16,LP1,0.15,0.02,L
grid,eq,16,LP2,0.15,0.02,L
grid,eq,16,MAX,0.24,0.05,L
grid,eq,16,SRS,0.24,0.05,L
grid,eq,16,WAV,0.14,0.02,L
grid,uneq,4,B,-0.04,0.41,D
grid,uneq,4,LP1,-0.16,0.26,D
grid,uneq,4,LP2,-0.17,0.27,D
grid,uneq,4,MAX,-0.35,0.3,D
grid,uneq,4,SRS,-0.23,0.34,D
grid,uneq,4,WAV,-0.1,0.24,D
grid,uneq,4,B,-0.29,0.1,I
grid,uneq,4,LP1,-0.19,0.1,I
grid,uneq,4,LP2,-0.19,0.11,I
grid,uneq,4,MAX,-0.05,0.14,I
grid,uneq,4,SRS,-0.07,0.12,I
grid,uneq,4,WAV,-0.29,0.1,I
grid,uneq,4,B,0.72,4.32,L
grid,uneq,4,LP1,0.73,1.44,L
grid,uneq,4,LP2,0.71,1.33,L
grid,uneq,4,MAX,0.78,1.52,L
grid,uneq,4,SRS,30.36,121.85,L
grid,uneq,4,WAV,1.0,14.21,L
grid,uneq,8,B,-0.02,0.2,D
grid,uneq,8,LP1,-0.09,0.24,D
grid,uneq,8,LP2,-0.1,0.25,D
grid,uneq,8,MAX,-0.28,0.3,D
grid,uneq,8,SRS,-0.11,0.33,D
grid,uneq,8,WAV,-0.06,0.21,D
